question_id,pipeline_name,retrieved_chunk_count,structured_ops_used,filter_fallback_applied
1,gemma_rag,8,filtered_list,False
2,gemma_rag,4,ontology_filtered_list,False
3,gemma_rag,4,ontology_filtered_list,False
4,gemma_rag,7,ontology_filtered_list,False
5,gemma_rag,8,filtered_list,False
6,gemma_rag,0,company_location_facility_map,False
7,gemma_rag,0,top_company_by_employment,False
8,gemma_rag,0,county_employment_totals,False
9,gemma_rag,0,county_employment_totals,False
10,gemma_rag,8,ontology_filtered_list,False
11,gemma_rag,3,filtered_list,False
12,gemma_rag,8,filtered_list,False
13,gemma_rag,6,oem_supplier_network,False
14,gemma_rag,4,ontology_filtered_list,False
15,gemma_rag,2,ontology_filtered_list,False
16,gemma_rag,3,ontology_filtered_list,False
17,gemma_rag,2,ontology_filtered_list,False
18,gemma_rag,1,ontology_filtered_list,False
19,gemma_rag,4,ontology_filtered_list,False
20,gemma_rag,8,filtered_list,False
21,gemma_rag,8,filtered_list,False
22,gemma_rag,7,ontology_filtered_list,False
23,gemma_rag,1,ontology_filtered_list,False
24,gemma_rag,6,ontology_filtered_list,False
25,gemma_rag,8,filtered_list,False
26,gemma_rag,8,filtered_list,False
27,gemma_rag,0,sole_source_roles,False
28,gemma_rag,4,ontology_filtered_list,False
29,gemma_rag,8,,False
30,gemma_rag,8,ontology_filtered_list,False
31,gemma_rag,8,filtered_list,False
32,gemma_rag,5,ontology_filtered_list,False
33,gemma_rag,8,filtered_list,False
34,gemma_rag,0,employment_ranked_companies,False
35,gemma_rag,0,count_ontology_companies,False
36,gemma_rag,8,filtered_list,False
37,gemma_rag,7,ontology_filtered_list,False
38,gemma_rag,3,filtered_list,False
39,gemma_rag,0,employment_ranked_companies,False
40,gemma_rag,7,ontology_filtered_list,False
41,gemma_rag,8,filtered_list,False
42,gemma_rag,8,,False
43,gemma_rag,3,ontology_filtered_list,False
44,gemma_rag,1,ontology_filtered_list,False
45,gemma_rag,8,filtered_list,False
46,gemma_rag,8,ontology_filtered_list,False
47,gemma_rag,8,,False
48,gemma_rag,0,count_filtered_rows,False
49,gemma_rag,8,,False
50,gemma_rag,1,rd_facilities,False
