question_id,pipeline_name,retrieved_chunk_count,structured_ops_used,filter_fallback_applied
1,qwen_rag,8,filtered_list,False
2,qwen_rag,4,ontology_filtered_list,False
3,qwen_rag,4,ontology_filtered_list,False
4,qwen_rag,7,ontology_filtered_list,False
5,qwen_rag,8,filtered_list,False
6,qwen_rag,0,company_location_facility_map,False
7,qwen_rag,0,top_company_by_employment,False
8,qwen_rag,0,county_employment_totals,False
9,qwen_rag,0,county_employment_totals,False
10,qwen_rag,8,ontology_filtered_list,False
11,qwen_rag,3,filtered_list,False
12,qwen_rag,8,filtered_list,False
13,qwen_rag,6,oem_supplier_network,False
14,qwen_rag,4,ontology_filtered_list,False
15,qwen_rag,2,ontology_filtered_list,False
16,qwen_rag,3,ontology_filtered_list,False
17,qwen_rag,2,ontology_filtered_list,False
18,qwen_rag,1,ontology_filtered_list,False
19,qwen_rag,4,ontology_filtered_list,False
20,qwen_rag,8,filtered_list,False
21,qwen_rag,8,filtered_list,False
22,qwen_rag,7,ontology_filtered_list,False
23,qwen_rag,1,ontology_filtered_list,False
24,qwen_rag,6,ontology_filtered_list,False
25,qwen_rag,8,filtered_list,False
26,qwen_rag,8,filtered_list,False
27,qwen_rag,0,sole_source_roles,False
28,qwen_rag,4,ontology_filtered_list,False
29,qwen_rag,8,,False
30,qwen_rag,8,ontology_filtered_list,False
31,qwen_rag,8,filtered_list,False
32,qwen_rag,5,ontology_filtered_list,False
33,qwen_rag,8,filtered_list,False
34,qwen_rag,0,employment_ranked_companies,False
35,qwen_rag,0,count_ontology_companies,False
36,qwen_rag,8,filtered_list,False
37,qwen_rag,7,ontology_filtered_list,False
38,qwen_rag,3,filtered_list,False
39,qwen_rag,0,employment_ranked_companies,False
40,qwen_rag,7,ontology_filtered_list,False
41,qwen_rag,8,filtered_list,False
42,qwen_rag,8,,False
43,qwen_rag,3,ontology_filtered_list,False
44,qwen_rag,1,ontology_filtered_list,False
45,qwen_rag,8,filtered_list,False
46,qwen_rag,8,ontology_filtered_list,False
47,qwen_rag,8,,False
48,qwen_rag,0,count_filtered_rows,False
49,qwen_rag,8,,False
50,qwen_rag,1,rd_facilities,False
