question_id,question,reference_answer,known_issue_bucket,qwen_norag__generated_answer,qwen_norag__answer_status,qwen_norag__evaluation_status,qwen_norag__faithfulness,qwen_norag__response_relevancy,qwen_norag__context_precision,qwen_norag__context_recall,qwen_norag__answer_correctness,qwen_rag__generated_answer,qwen_rag__answer_status,qwen_rag__evaluation_status,qwen_rag__faithfulness,qwen_rag__response_relevancy,qwen_rag__context_precision,qwen_rag__context_recall,qwen_rag__answer_correctness,gemma_norag__generated_answer,gemma_norag__answer_status,gemma_norag__evaluation_status,gemma_norag__faithfulness,gemma_norag__response_relevancy,gemma_norag__context_precision,gemma_norag__context_recall,gemma_norag__answer_correctness,gemma_rag__generated_answer,gemma_rag__answer_status,gemma_rag__evaluation_status,gemma_rag__faithfulness,gemma_rag__response_relevancy,gemma_rag__context_precision,gemma_rag__context_recall,gemma_rag__answer_correctness
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia (using Updated Location).
F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems
Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries
Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries
Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte
IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems
JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products
Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems",none,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

However, typically ""Tier 1/2"" suppliers in the context of an EV supply chain would include companies that provide critical components and services directly to OEMs (Original Equipment Manufacturers) or their immediate suppliers. Their roles might involve manufacturing batteries, electric motors, power electronics, or providing assembly and testing services. The exact list and details would depend on specific data about Georgia's automotive industry and its involvement in EV production.",success,success,,0.7333066506578115,,,0.6860057993105071,"Company: F&P Georgia Manufacturing
EV Supply Chain Role: Battery Pack
Product / Service: Lithium-ion battery recycler and raw materials provider

Company: Hyundai Transys Georgia Seating Systems
EV Supply Chain Role: General Automotive
Product / Service: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts

Company: IMS Gear Georgia Inc.
EV Supply Chain Role: General Automotive
Product / Service: Car audio systems

Company: Hyundai Transys Georgia Powertrain
EV Supply Chain Role: Thermal Management
Product / Service: Electrical heaters, control units, and actuators

Company: Hyundai MOBIS (Georgia)
EV Supply Chain Role: General Automotive
Product / Service: Capacitors, electronic automotive components

Company: Fouts Brothers Fire Equipment
EV Supply Chain Role: General Automotive
Product / Service: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units

Company: Jefferson Southern Corp.
EV Supply Chain Role: General Automotive
Product / Service: High current switches and resistors for automotive HVAC systems

Company: JAC Products Inc.
EV Supply Chain Role: General Automotive
Product / Service: Switches, resistors and related products",success,success,1.0,0.6561209883537376,0.9999999999,0.9473684210526315,0.5817548148785676,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

Generally, Tier 1/2 suppliers in Georgia (or any state) involved in the EV supply chain would likely include companies involved in battery production (cell manufacturing, pack assembly, materials sourcing), electric motor manufacturing, power electronics, charging infrastructure components, and potentially vehicle assembly if any occurs in the state. Their roles would span material supply, component manufacturing, sub-assembly, and direct supply to vehicle manufacturers. Product/services would align with those roles – e.g., battery cells, electric motors, charging station hardware, etc. Identifying *which* specific companies are Tier 1/2 requires proprietary supply chain data.",success,success,,0.8512184888116575,,,0.3654354904323473,"company, ev_supply_chain_role, product_service
F&P Georgia Manufacturing, Battery Pack, Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment, General Automotive, Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo, General Automotive, Car audio systems
Hitachi Astemo Americas Inc., Battery Cell, Battery cells for electric mobility
Hollingsworth & Vose Co., Battery Pack, Lithium-ion battery materials
Honda Development & Manufacturing, Battery Cell, Battery cells for electric mobility
Hwashin, General Automotive, Modules and storage systems
Hyundai & LG Energy Solution (LGES), General Automotive, Storage batteries
Hyundai Industrial Co., General Automotive, Automotive batteries
Hyundai MOBIS (Georgia), General Automotive, Capacitors, electronic automotive components
Hyundai Motor Group, Battery Pack, Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain, Thermal Management, Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems, General Automotive, Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI, Battery Pack, Battery electrolyte
IMS Gear Georgia Inc., General Automotive, Car audio systems
Inalfa Roof Systems Inc., General Automotive, Automotive electronic safety systems
JAC Products Inc., General Automotive, Switches, resistors and related products
Jefferson Southern Corp., General Automotive, High current switches and resistors for automotive HVAC systems",success,success,1.0,0.5220321618157707,0.9999999999,0.9473684210526315,0.7064198756129071
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","There are 6 companies found with Battery Cell or Battery Pack roles.    

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack 
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell 
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack 
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell 
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack 
IMMI [Tier 1/2] | Role: Battery Pack ",none,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. Companies classified under Battery Cell or Battery Pack roles in Georgia, along with their tier assignments, would depend on specific industry data and classifications provided by relevant organizations or reports.",success,success,,0.0,,,0.5253175164306203,"Company: F&P Georgia Manufacturing
Tier: Tier 1/2
EV Supply Chain Role: Battery Pack

Company: IMMI
Tier: Tier 1/2
EV Supply Chain Role: Battery Pack

Company: Hyundai Motor Group
Tier: Tier 1/2
EV Supply Chain Role: Battery Pack

Company: Hollingsworth & Vose Co.
Tier: Tier 1/2
EV Supply Chain Role: Battery Pack

Company: Hitachi Astemo Americas Inc.
Tier: Tier 1/2
EV Supply Chain Role: Battery Cell

Company: Honda Development & Manufacturing
Tier: Tier 1/2
EV Supply Chain Role: Battery Cell",success,success,1.0,0.6836475606523229,0.9999999999,1.0,0.6650762444373222,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, companies involved in battery cell or pack roles in Georgia would likely be automotive manufacturers with EV production, energy storage companies, or specialized battery manufacturers. Tier assignments would depend on the specific benchmark's criteria (e.g., production volume, revenue, technological leadership), but could range from Tier 1 (major players) to Tier 3 (smaller suppliers or emerging companies). It's reasonable to expect companies like Kia, Hyundai, and Rivian to be involved, but their specific tier would be unknown without the dataset.",success,success,,0.8578411550334207,,,0.7533198566755983,"F&P Georgia Manufacturing: Tier 1/2
Hitachi Astemo Americas Inc.: Tier 1/2
Hollingsworth & Vose Co.: Tier 1/2
Honda Development & Manufacturing: Tier 1/2
Hyundai Motor Group: Tier 1/2
IMMI: Tier 1/2",success,success,1.0,0.5248286690273298,0.9999999999,1.0,0.5097054130751528
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"There are 5 Thermal Management companies in Georgia.
ZF Gainesville LLC | OEMs: Multiple OEMs
Freudenberg-NOK | OEMs: Multiple OEMs
Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian
Novelis Inc. | OEMs: Multiple OEMs
Peerless-Winsmith Inc. | OEMs: Multiple OEMs",none,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

However, typically, a supplier in the thermal management sector in Georgia would be linked to one or more primary Original Equipment Manufacturers (OEMs) through supply chain relationships. The exact mapping of suppliers to OEMs would depend on specific industry data and direct business relationships that are not available from closed-book knowledge.",success,success,,0.0,,,0.25599853856273574,"**Thermal Management suppliers in Georgia and their linked Primary OEMs:**

- **Novelis Inc.**
  - County: Fulton County
  - Primary OEMs: Multiple OEMs

- **Hyundai Transys Georgia Powertrain**
  - County: Troup County
  - Primary OEMs: Hyundai Kia Rivian

- **Freudenberg-NOK**
  - County: Troup County
  - Primary OEMs: Multiple OEMs

- **Peerless-Winsmith Inc.**
  - County: Hall County
  - Primary OEMs: Multiple OEMs",success,success,1.0,0.891150811246049,0.9999999999,0.8333333333333334,0.6662462891110025,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

Thermal management suppliers serve many industries, including automotive, aerospace, electronics, and data centers. In Georgia, suppliers would likely support manufacturers in these sectors. Primary OEMs (Original Equipment Manufacturers) would depend on the specific supplier's specialization – for example, a supplier focusing on automotive thermal solutions might link to vehicle assembly plants, while one focused on data centers would link to data center operators. Identifying the specific links requires knowing which companies operate in Georgia and their supply chains, which is beyond closed-book knowledge.",success,success,,0.0,,,0.5351511010390628,"Novelis Inc.: Multiple OEMs
ZF Gainesville LLC: 
Hyundai Transys Georgia Powertrain: Hyundai Kia Rivian
Thermal Ceramics Inc.: SK Battery America
Freudenberg-NOK: Multiple OEMs
Peerless-Winsmith Inc.: Multiple OEMs
ZF Gainesville LLC: 
ZF Gainesville LLC:",success,success,0.7272727272727273,0.42953278421204794,0.9999999999,0.8333333333333334,0.598882871951934
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies strictly classified under Power Electronics or Charging Infrastructure:
GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350
Morgan Corp. | Role: Charging Infrastructure | Employment: 320
Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500",none,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

However, companies classified under Power Electronics or Charging Infrastructure in Georgia would typically include firms involved in the manufacturing, distribution, or installation of related technologies and services. Employment sizes for such companies could vary widely depending on the specific nature and scale of their operations.",success,success,,0.6440988830193118,,,0.5527275969816658,"Company: GSC Steel Stamping LLC
Employment: 350

Company: Morgan Corp.
Employment: 320",success,success,1.0,0.41381528449974697,0.9999999999,0.6,0.5390167551337058,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Companies involved in power electronics or charging infrastructure in Georgia would likely include manufacturers of components (like semiconductors, transformers, or circuit boards), assembly/integration facilities, and companies installing/maintaining charging stations. Employment size would vary greatly – from small installation businesses with under 50 employees to larger manufacturing operations potentially employing hundreds or even thousands. It would depend on the specific scope of each company's activities and their market share.",success,success,,0.0,,,0.44039226825912137,"GSC Steel Stamping LLC: 350.0
Morgan Corp.: 320.0",success,success,1.0,0.3385164838106209,0.9999999999,0.6,0.46369880717524503
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","Original Equipment Manufacturer companies (11):
Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly
Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive
Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly
Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly
TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly
TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly
TE Connectivity | EV Supply Chain Role: Vehicle Assembly
Teklas USA | EV Supply Chain Role: Vehicle Assembly
Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly
Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly
Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly",none,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

However, in a typical EV supply chain context, Direct Manufacturers are companies that produce electric vehicles (EVs) and their components. These companies often cover roles such as vehicle assembly, battery manufacturing, and parts production. The specific companies would need to be identified based on the dataset provided.",success,success,,0.8708942322439365,,,0.3513075909682781,"The companies classified as Direct Manufacturer and their corresponding EV Supply Chain Roles are:

1. Thomson Plastics Inc. | Vehicle Assembly
2. Suzuki Manufacturing of America Corp. | Vehicle Assembly
3. Superior Essex Inc. | Vehicle Assembly
4. Thermal Ceramics Inc. | Vehicle Assembly
5. TCI Powder Coatings | Vehicle Assembly
6. TDK Components USA Inc. | Vehicle Assembly
7. Teklas USA | Vehicle Assembly

Note: Minebea AccessSolutions USA Inc. is also classified as a Direct Manufacturer but its EV Supply Chain Role is General Automotive, which may not align with the typical EV supply chain roles focused on vehicle assembly or battery manufacturing.",success,success,1.0,0.9793019351941724,0.9999999999,1.0,0.5704027330962078,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, “Direct Manufacturers” in the EV supply chain are companies that produce battery cells, battery packs, or electric vehicle drive systems (motors, inverters, etc.). Their EV Supply Chain Roles would likely cover Cell Manufacturing, Pack Assembly, and/or Component Manufacturing. The specific roles covered by *each* company would depend on their specialization – some might only make cells, others might assemble full packs using cells sourced elsewhere, and still others might focus on motor production.",success,success,,0.8457117740723289,,,0.489116078311101,"**Direct Manufacturer Companies and EV Supply Chain Roles:**

*   **Kia Georgia Inc.** - Vehicle Assembly
*   **Minebea AccessSolutions USA Inc.** - General Automotive
*   **Superior Essex Inc.** - Vehicle Assembly
*   **Suzuki Manufacturing of America Corp.** - Vehicle Assembly
*   **TCI Powder Coatings** - Vehicle Assembly
*   **TDK Components USA Inc.** - Vehicle Assembly
*   **TE Connectivity** - Vehicle Assembly
*   **Teklas USA** - Vehicle Assembly
*   **Textron Specialized Vehicles** - Vehicle Assembly
*   **Thermal Ceramics Inc.** - Vehicle Assembly
*   **Thomson Plastics Inc.** - Vehicle Assembly",success,success,0.9545454545454546,0.8643993823812809,0.9999999999,1.0,0.5763133160836392
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.",none,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Novelis Inc. operates in multiple countries with various facility types such as rolling mills, can plants, and recycling facilities. The specific locations and associated primary facility types would depend on official company sources or reports.",success,success,,0.0,,,0.34719182232653656,"Novelis Inc. operates in Atlanta, Fulton County, where the primary facility type associated with each location is a Manufacturing Plant.",success,success,1.0,0.8642748902931771,0.9999999999,1.0,0.6686357351557853,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Novelis Inc. is a major aluminum rolling and recycling company. Therefore, its locations would likely include aluminum production facilities (rolling mills), recycling plants to process aluminum scrap, and potentially research & development centers. These facilities would likely be situated near sources of aluminum (either raw materials or scrap) and major transportation routes to serve customers in industries like automotive, aerospace, and packaging. Locations would span globally, given Novelis's international presence, but specific sites are unknown without the dataset.",success,success,,0.0,,,0.4895673132285416,"Novelis Inc. operates in Atlanta, Fulton County with Manufacturing Plant facilities.",success,success,1.0,0.8642748902931771,0.9999999999,1.0,0.48577155028402635
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,none,I cannot determine the exact dataset-specific answer from closed-book knowledge alone. The company with the highest employment in Gwinnett County and its EV Supply Chain Role would depend on specific local business data and industry roles within the electric vehicle supply chain.,success,success,,0.0,,,0.5039751727625319,"Company: WIKA USA
EV Supply Chain Role: HV and LV wiring harnesses for EVs and ICE vehicles",success,success,0.6666666666666666,0.6078362606333739,0.9999999999,1.0,0.5463848611427091,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, companies with large manufacturing or distribution operations—particularly those involved in automotive or technology—tend to have the highest employment in a given county. EV Supply Chain Roles could include battery manufacturing, charging infrastructure production, electric motor component supply, or vehicle assembly; the company with the highest employment would likely fulfill a significant role in one of these areas. Determining the *highest* employment and specific role requires precise data not available without the dataset.",success,success,,0.0,,,0.3196714430594819,WIKA USA has the highest Employment of 250000.0 and its EV Supply Chain Role is HV and LV wiring harnesses for EVs and ICE vehicles.,success,success,0.75,0.482582131989107,0.9999999999,1.0,0.6066717369741857
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees",none,I cannot determine the exact dataset-specific answer from closed-book knowledge alone. The highest total employment among Tier 1 suppliers would depend on the specific counties where these suppliers have their facilities and the size of those facilities.,success,success,,0.0,,,0.6704471036447204,"Based on the provided context and structured evidence, the county with the highest total employment among Tier 1 suppliers is Troup County with a total employment of 2435.0.",success,success,1.0,0.9848538955417848,0.9999999999,1.0,0.6504461065685442,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, employment related to automotive Tier 1 suppliers would likely be concentrated in counties with major manufacturing facilities. These would probably be in areas with a history of automotive production and a skilled workforce. It's reasonable to expect a county near a large assembly plant would have high employment from Tier 1 suppliers, but without the dataset, I cannot say which county specifically has the highest total.",success,success,,0.0,,,0.5078524114405158,Troup County,success,success,1.0,,0.9999999999,1.0,0.4421197878691067
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Gwinnett County has the highest total employment across all companies: 253022.,none,I cannot determine the exact dataset-specific answer from closed-book knowledge alone. The county with the highest total employment would depend on specific employment data across all companies in each county.,success,success,,0.0,,,0.6834415403766528,"The county with the highest total employment across all companies is Gwinnett County, with a combined employment of 253,022.",success,success,0.5,0.9332942744526168,0.9999999999,1.0,0.9928312750334163,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

Generally, total employment would likely be highest in a county with a major metropolitan area and a diverse economic base. Factors like the presence of large corporate headquarters, manufacturing facilities, distribution centers, and government employment would all contribute. It's reasonable to expect a county near Atlanta would be a strong candidate, but without the dataset, I cannot say for sure.",success,success,,0.0,,,0.4466688565352076,"Gwinnett County has the highest total employment across all companies, with a combined employment of 253022.0.",success,success,0.5,0.9274771939833687,0.9999999999,1.0,0.7471333496080693
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,"There are 10 Vehicle Assembly OEMs along with their Primary OEMs are:
Kia Georgia Inc. | Primary OEMs: Club Car LLC
Superior Essex Inc. | Primary OEMs: Hyundai Motor Group
Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive
TCI Powder Coatings | Primary OEMs: Kia Georgia Inc.
TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC
TE Connectivity | Primary OEMs: Blue Bird Corp.
Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles
Thermal Ceramics Inc. | Primary OEMs: SK Battery America
Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.",none,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. However, Vehicle Assembly facilities in Georgia would typically be associated with major Original Equipment Manufacturers (OEMs) such as automotive companies. The specific OEMs and their corresponding facilities would depend on the current industrial landscape and partnerships in Georgia.",success,success,,0.7713867201600427,,,0.2612387738627555,"- **Kia Georgia Inc.** in **Troup County** is associated with **Club Car LLC**.
- **Superior Essex Inc.** in **Cobb County** is associated with **Hyundai Motor Group**.
- **TCI Powder Coatings** in **Schley County** is associated with **Kia Georgia Inc.**, but Kia Georgia Inc. is the primary OEM for Club Car LLC.
- **Thermal Ceramics Inc.** in **Richmond County** is associated with **SK Battery America**.

Note: TCI Powder Coatings is listed as a Vehicle Assembly facility but its primary OEM is Kia Georgia Inc., which is already listed with Club Car LLC as its primary OEM.",success,success,0.8,0.4546285816290833,0.9999999999,1.0,0.567435521947669,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, vehicle assembly facilities are associated with major automotive manufacturers (OEMs) like General Motors, Ford, Stellantis (Chrysler), Toyota, Hyundai, Kia, BMW, Mercedes-Benz, and Volkswagen. Georgia is a state with a growing automotive industry, so it is plausible there are facilities operated by one or more of these OEMs—or suppliers to them—doing final assembly work. Identifying the specific facilities and their primary OEM would require a current list of manufacturing plants in Georgia and their designated manufacturers.",success,success,,0.0,,,0.3405801833186375,"Kia Georgia Inc. - Club Car LLC
Superior Essex Inc. - Hyundai Motor Group
Suzuki Manufacturing of America Corp. - Rivian Automotive
TCI Powder Coatings - Kia Georgia Inc.
TDK Components USA Inc. - Mercedes-Benz USA LLC
TE Connectivity - Blue Bird Corp.
Teklas USA - Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles - Textron Specialized Vehicles
Thermal Ceramics Inc. - SK Battery America
Thomson Plastics Inc. - Archer Aviation Inc.",success,success,1.0,0.44987954302664335,0.9999999999,1.0,0.7530924999280666
