question_id,generated_answer,gold_answer,route_selected,structured_ops_used,pass_or_fail,short_note
13,"Suzuki Manufacturing of America Corp. | OEM | Role: Vehicle Assembly | OEMs: Rivian Automotive
Racemark International LLC | Tier 1 | Role: General Automotive | OEMs: Hyundai Kia Rivian
Hyundai Transys Georgia Powertrain | Tier 1/2 | Role: Thermal Management | OEMs: Hyundai Kia Rivian
Duckyang | Tier 2/3 | Role: General Automotive | OEMs: Hyundai Kia Rivian
Enchem America Inc. | Tier 2/3 | Role: General Automotive | OEMs: Hyundai Kia Rivian
GSC Steel Stamping LLC | Tier 2/3 | Role: Power Electronics | OEMs: Hyundai Kia Rivian","Rivian-linked suppliers in GA (by Primary OEMs column):
Duckyang [Tier 2/3] | Role: General Automotive | Primary OEMs: Hyundai Kia Rivian
Enchem America Inc. [Tier 2/3] | Role: General Automotive | Primary OEMs: Hyundai Kia Rivian
GSC Steel Stamping LLC [Tier 2/3] | Role: Power Electronics | Primary OEMs: Hyundai Kia Rivian
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Primary OEMs: Hyundai Kia Rivian
Racemark International LLC [Tier 1] | Role: General Automotive | Primary OEMs: Hyundai Kia Rivian
Suzuki Manufacturing of America Corp. [OEM] | Role: Vehicle Assembly | Primary OEMs: Rivian Automotive",oem_supplier_network,oem_supplier_network,,
14,"Duckyang, Tier 2/3
F&P Georgia Manufacturing, Tier 1/2
Hollingsworth & Vose Co., Tier 1/2
IMMI, Tier 1/2","There are 4 Georgia companies producing battery materials such as anodes, cathodes, electrolytes, or copper foil. 
Duckyang [Tier 2/3] | Produce: High-quality electrodeposited (ED) copper foil for electric vehicles
F&P Georgia Manufacturing [Tier 1/2] | Produce: Lithium-ion battery recycler and raw materials provider
Hollingsworth & Vose Co. [Tier 1/2] | Produce: Lithium-ion battery materials
IMMI [Tier 1/2]  | Produce: Battery electrolyte",ontology_filtered_list,ontology_filtered_list,,
15,"WIKA USA, OEM Supply Chain, HV and LV wiring harnesses for EVs and ICE vehicles, Vehicle power & data solutions; wiring harnesses and connectors, , 250000, Lawrenceville, Gwinnett County, Manufacturing / Engineering
Woodbridge Foam Corp., OEM Supply Chain, EV wiring harnesses and power distribution, Automotive wiring harnesses & electrical distribution systems, , 1657, Lithonia, DeKalb County, Manufacturing","There are 2 Georgia companies with an EV Supply Chain Role related to wiring harnesses:
WIKA USA | Primary OEMs: n/a
Woodbridge Foam Corp. | Primary OEMs: n/a",ontology_filtered_list,ontology_filtered_list,,
17,"WIKA USA, Woodbridge Foam Corp.","There are 2 Georgia companies manufacturing high-voltage wiring harnesses or EV electrical distribution components suitable for BEV platforms

WIKA USA | Role: HV and LV wiring harnesses for EVs and ICE vehicles | Product: Vehicle power & data solutions; wiring harnesses and connectors | Ev Relevant: Yes
Woodbridge Foam Corp. | Role: EV wiring harnesses and power distribution | Product: Automotive wiring harnesses & electrical distribution systems | Ev Relevant: Yes",ontology_filtered_list,ontology_filtered_list,,
23,"Archer Aviation Inc., Tier 2/3, Powder coatings for automotive and other industries, Multiple OEMs, 200, Covington, Morgan County","There is only 1 Georgia company that provides Powder coating-related products/services:
Archer Aviation Inc. [Tier 2/3] | Produces: Powder coatings for automotive and other industries",ontology_filtered_list,ontology_filtered_list,,
24,"F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia, 104, Rome, Floyd County, Manufacturing Plant
Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia, 400, Hawkinsville, Pulaski County, Manufacturing Plant
IMMI, Tier 1/2, Battery Pack, Battery electrolyte, Hyundai Kia, 100, Dublin, Laurens County, Manufacturing Plant
Hyundai Motor Group, Tier 1/2, Battery Pack, Battery parts for electric vehicles, Hyundai Kia, 164, Ellabell, Bryan County, Manufacturing Plant","There are 6 Georgia companies manufacturing battery parts or enclosure systems and are classified as Tier 1/2, making them ready for direct OEM engagement. 

F&P Georgia Manufacturing | OEMs: Hyundai Kia 
Hitachi Astemo Americas Inc. | OEMs: Hyundai Kia 
Hollingsworth & Vose Co. | OEMs: Hyundai Kia 
Honda Development & Manufacturing | OEMs: Hyundai Kia 
Hyundai Motor Group | OEMs: Hyundai Kia 
IMMI | OEMs: Hyundai Kia ",ontology_filtered_list,ontology_filtered_list,,
27,"Advanced electrical architecture for EVs | Yamaha Motor Manufacturing Corp.
Body and chassis components for EV and ICE OEMs | Vanguard National Trailer Corp.
Charging Infrastructure | Morgan Corp.
EV and ICE component manufacturing | Vista Metals Corp.
EV and ICE powertrain and HVAC components | Voestalpine Automotive Body Parts Inc.
EV body, powertrain, and thermal components | ZF Gainesville LLC
EV electrical distribution and interior systems | Yachiyo Manufacturing of America LLC
EV sensors, braking, and control systems | YKK USA Inc.
EV thermal management and power electronics | ZF Gainesville LLC
EV thermal systems and electronics | ZF Gainesville LLC
EV wiring harnesses and power distribution | Woodbridge Foam Corp.
High‑voltage EV connectors and electronics | Woory Industrial Co.
HV and LV wiring harnesses for EVs and ICE vehicles | WIKA USA
Interior and exterior plastic parts | Wabash National Corp.
Interior trim and textile components | Wheelabrator Group Inc.
Machined components supporting EV and ICE vehicles | Trenton Pressing Inc.
OEM corporate and engineering footprint (electrification) | Tie Down Engineering
OEM corporate footprint and supplier integration | Trenton Pressing
OEM corporate footprint influencing EV strategy | TI Fluid Systems
OEM parent group footprint (electric truck strategy) | Toyota Industries Group (TACG-TICA)
OEM parent group footprint (EV + HD electrification) | TN Americas Holding Inc.
Plastic components for EV and ICE vehicles | Volvo Cars USA
Power Electronics | GSC Steel Stamping LLC
Power electronics, sensors, and EV systems | Yazaki North America
Stamped and welded assemblies for OEMs | Vernay
Stamped metal components for OEMs | Volvo Group North America
Tier 1 automotive components | Valeo
Vehicle safety systems OEM (EV + ICE) | TI Fluid Systems","There are 28 Supply Chain Roles in Georgia served by only a single company, creating a single-point-of-failure risk for the state's EV ecosystem  

Role: Advanced electrical architecture for EVs | Only company: Yamaha Motor Manufacturing Corp.
Role: Body and chassis components for EV and ICE OEMs | Only company: Vanguard National Trailer Corp.
Role: Charging Infrastructure | Only company: Morgan Corp.
Role: EV and ICE component manufacturing | Only company: Vista Metals Corp.
Role: EV and ICE powertrain and HVAC components | Only company: Voestalpine Automotive Body Parts Inc.
Role: EV body, powertrain, and thermal components | Only company: ZF Gainesville LLC
Role: EV electrical distribution and interior systems | Only company: Yachiyo Manufacturing of America LLC
Role: EV sensors, braking, and control systems | Only company: YKK USA Inc.
Role: EV thermal management and power electronics | Only company: ZF Gainesville LLC
Role: EV thermal systems and electronics | Only company: ZF Gainesville LLC
Role: EV wiring harnesses and power distribution | Only company: Woodbridge Foam Corp.
Role: HV and LV wiring harnesses for EVs and ICE vehicles | Only company: WIKA USA
Role: High‑voltage EV connectors and electronics | Only company: Woory Industrial Co.
Role: Interior and exterior plastic parts | Only company: Wabash National Corp.
Role: Interior trim and textile components | Only company: Wheelabrator Group Inc.
Role: Machined components supporting EV and ICE vehicles | Only company: Trenton Pressing Inc.
Role: OEM corporate and engineering footprint (electrification) | Only company: Tie Down Engineering
Role: OEM corporate footprint and supplier integration | Only company: Trenton Pressing
Role: OEM corporate footprint influencing EV strategy | Only company: TI Fluid Systems
Role: OEM parent group footprint (EV + HD electrification) | Only company: TN Americas Holding Inc.
Role: OEM parent group footprint (electric truck strategy) | Only company: Toyota Industries Group (TACG-TICA)
Role: Plastic components for EV and ICE vehicles | Only company: Volvo Cars USA
Role: Power Electronics | Only company: GSC Steel Stamping LLC
Role: Power electronics, sensors, and EV systems | Only company: Yazaki North America
Role: Stamped and welded assemblies for OEMs | Only company: Vernay
Role: Stamped metal components for OEMs | Only company: Volvo Group North America
Role: Tier 1 automotive components | Only company: Valeo
Role: Vehicle safety systems OEM (EV + ICE) → Only company: TI Fluid Systems",sole_source_roles,sole_source_roles,,
35,"5
F&P Georgia Manufacturing | Tier 1/2 | Lithium-ion battery recycler and raw materials provider
Hitachi Astemo Americas Inc. | Tier 1/2 | Battery cells for electric mobility
Hollingsworth & Vose Co. | Tier 1/2 | Lithium-ion battery materials
Honda Development & Manufacturing | Tier 1/2 | Battery cells for electric mobility
IMMI | Tier 1/2 | Battery electrolyte","There are 5 Georgia‑based companies currently producing lithium‑ion battery materials, battery cells, or battery electrolytes:
  F&P Georgia Manufacturing [Tier 1/2] | Lithium-ion battery recycler & raw materials
  Hitachi Astemo Americas Inc. [Tier 1/2] | Battery cells for electric mobility
  Hollingsworth & Vose Co. [Tier 1/2] | Lithium-ion battery materials
  Honda Development & Manufacturing [Tier 1/2] | Battery cells
  IMMI [Tier 1/2] | Battery electrolyte",count_ontology_companies,count_ontology_companies,,
43,"F&P Georgia Manufacturing, Enplas USA Inc., EVCO Plastics","There are 3 Georgia companies involved in battery recycling or end-of-life processing:
Enplas USA Inc. | Product: Recycler of lithium ion batteries
EVCO Plastics | Product: Recycler of copper, precious metals, and non-ferrous materials
F&P Georgia Manufacturing | Product: Lithium-ion battery recycler and raw materials provider",ontology_filtered_list,ontology_filtered_list,,
50,"Gray, Jones County, Racemark International LLC, R&D, Manufacturing and R&D engine parts for EV","There is only 1 Georgia area with an R&D facility type in the automotive sector:
Gray, Jones County | Company: Racemark International LLC | Product: Manufacturing and R&D engine parts for EV",rd_facilities,rd_facilities,,
