question_id,pipeline_name,retrieved_chunk_count,structured_ops_used,filter_fallback_applied
1,gemma_rag,8,list_records,False
2,gemma_rag,6,list_records,False
3,gemma_rag,8,oem_mapping,False
4,gemma_rag,2,list_records,False
5,gemma_rag,8,list_records,False
6,gemma_rag,3,company_location_facility_map,False
7,gemma_rag,8,top_company_by_employment,False
8,gemma_rag,8,county_employment_totals,False
9,gemma_rag,8,county_employment_totals,False
10,gemma_rag,8,list_records,False
11,gemma_rag,3,list_records,False
12,gemma_rag,8,list_records,False
13,gemma_rag,1,oem_mapping,False
14,gemma_rag,8,list_records,False
15,gemma_rag,8,list_records,False
16,gemma_rag,8,,False
17,gemma_rag,8,list_records,False
18,gemma_rag,1,list_records,False
19,gemma_rag,8,,False
20,gemma_rag,8,list_records,False
21,gemma_rag,8,,False
22,gemma_rag,1,list_records,False
23,gemma_rag,8,list_records,False
24,gemma_rag,8,oem_mapping,False
25,gemma_rag,8,,False
26,gemma_rag,8,list_records,False
27,gemma_rag,8,list_records,False
28,gemma_rag,8,list_records,False
29,gemma_rag,8,,False
30,gemma_rag,8,list_records,False
31,gemma_rag,8,list_records,False
32,gemma_rag,5,list_records,False
33,gemma_rag,8,list_records,False
34,gemma_rag,8,,False
35,gemma_rag,8,count_matching_records,False
36,gemma_rag,8,list_records,False
37,gemma_rag,8,list_records,False
38,gemma_rag,8,list_records,False
39,gemma_rag,4,list_records,False
40,gemma_rag,8,list_records,False
41,gemma_rag,8,list_records,False
42,gemma_rag,4,,False
43,gemma_rag,8,list_records,False
44,gemma_rag,8,list_records,False
45,gemma_rag,8,oem_mapping,False
46,gemma_rag,8,list_records,False
47,gemma_rag,5,,False
48,gemma_rag,8,count_matching_records,False
49,gemma_rag,8,,False
50,gemma_rag,1,list_records,False
