question_id,question,gold_answer,generated_answer,pipeline_name,judge_model,generation_output_path,label,answer_correctness_score,reason,evaluation_status,error_message,timestamp_utc
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia (using Updated Location). F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems","F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia
Fouts Brothers Fire Equipment, Tier 1/2, General Automotive, Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units, Multiple OEMs
Hitachi Astemo, Tier 1/2, General Automotive, Car audio systems, Multiple OEMs
Hitachi Astemo Americas Inc., Tier 1/2, Battery Cell, Battery cells for electric mobility, Hyundai Kia
Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia
Honda Development & Manufacturing, Tier 1/2, Battery Cell, Battery cells for electric mobility, Hyundai Kia
Hwashin, Tier 1/2, General Automotive, Modules and storage systems, Multiple OEMs
Hyundai & LG Energy Solution (LGES), Tier 1/2, General Automotive, Storage batteries, Multiple OEMs
Hyundai Industrial Co., Tier 1/2, General Automotive, Automotive batteries, Multiple OEMs
Hyundai MOBIS (Georgia), Tier 1/2, General Automotive, Capacitors, electronic automotive components, Multiple OEMs
Hyundai Motor Group, Tier 1/2, Battery Pack, Battery parts for electric vehicles, Hyundai Kia
Hyundai Transys Georgia Powertrain, Tier 1/2, Thermal Management, Electrical heaters, control units, and actuators, Hyundai Kia Rivian
Hyundai Transys Georgia Seating Systems, Tier 1/2, General Automotive, Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts, Multiple OEMs
IMMI, Tier 1/2, Battery Pack, Battery electrolyte, Hyundai Kia
IMS Gear Georgia Inc., Tier 1/2, General Automotive, Car audio systems, Multiple OEMs
Inalfa Roof Systems Inc., Tier 1/2, General Automotive, Automotive electronic safety systems, Multiple OEMs
JAC Products Inc., Tier 1/2, General Automotive, Switches, resistors and related products, Multiple OEMs
Jefferson Southern Corp., Tier 1/2, General Automotive, High current switches and resistors for automotive HVAC systems, Multiple OEMs",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and includes extra harmless metadata.",success,,2026-04-06T05:22:32+00:00
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?",There are 6 companies found with Battery Cell or Battery Pack roles. F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell Hyundai Motor Group [Tier 1/2] | Role: Battery Pack IMMI [Tier 1/2] | Role: Battery Pack,"F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia, 104.0, Rome, Floyd County, Manufacturing Plant
Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia, 400.0, Hawkinsville, Pulaski County, Manufacturing Plant
Hyundai Motor Group, Tier 1/2, Battery Pack, Battery parts for electric vehicles, Hyundai Kia, 164.0, Ellabell, Bryan County, Manufacturing Plant
IMMI, Tier 1/2, Battery Pack, Battery electrolyte, Hyundai Kia, 100.0, Dublin, Laurens County, Manufacturing Plant",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata.",success,,2026-04-06T05:22:34+00:00
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,There are 5 Thermal Management companies in Georgia. ZF Gainesville LLC | OEMs: Multiple OEMs Freudenberg-NOK | OEMs: Multiple OEMs Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian Novelis Inc. | OEMs: Multiple OEMs Peerless-Winsmith Inc. | OEMs: Multiple OEMs,"Freudenberg-NOK, Tier 2/3, Thermal Management, Stamped blanks Flexible metal hoses for exhaust systems, thermal compensators, among other automotive, Multiple OEMs, 160.0, LaGrange, Troup County, Manufacturing Plant
Hyundai Transys Georgia Powertrain, Tier 1/2, Thermal Management, Electrical heaters, control units, and actuators, Hyundai Kia Rivian, 130.0, West Point, Troup County, Manufacturing Plant
Novelis Inc., Tier 1, Thermal Management, Acoustic and thermally effective automotive components, Multiple OEMs, 200.0, Atlanta, Fulton County, Manufacturing Plant
Peerless-Winsmith Inc., Tier 1, Thermal Management, Thermal solutions, Multiple OEMs, 160.0, Flowery Branch, Hall County, Manufacturing Plant",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.85,"The model-generated answer contains all required Thermal Management suppliers in Georgia and their linked Primary OEMs, with some minor differences in wording and metadata.",success,,2026-04-06T05:22:36+00:00
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies strictly classified under Power Electronics or Charging Infrastructure: GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350 Morgan Corp. | Role: Charging Infrastructure | Employment: 320 Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000 ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500","GSC Steel Stamping LLC, Power Electronics or Charging Infrastructure, 350.0
Hyundai MOBIS (Georgia), Power Electronics or Charging Infrastructure, 170.0
Hyundai Transys Georgia Seating Systems, Power Electronics or Charging Infrastructure, 110.0
Morgan Corp., Power Electronics or Charging Infrastructure, 320.0
Woory Industrial Co., Power Electronics or Charging Infrastructure, 87000.0
Yazaki North America, Power Electronics or Charging Infrastructure, 230000.0
ZF Gainesville LLC, Power Electronics or Charging Infrastructure, 17500.0",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.85,"The model-generated answer contains all required entities and mappings from the gold answer, but omits some details such as combined roles and narrative framing.",success,,2026-04-06T05:22:37+00:00
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?",Original Equipment Manufacturer companies (11): Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly TE Connectivity | EV Supply Chain Role: Vehicle Assembly Teklas USA | EV Supply Chain Role: Vehicle Assembly Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly,"Thomson Plastics Inc, Vehicle Assembly, Archer Aviation Inc.
Minebea AccessSolutions USA Inc., General Automotive, Porsche Cars North America Inc.
Suzuki Manufacturing of America Corp., Vehicle Assembly, Rivian Automotive
Teklas USA, Vehicle Assembly, Yamaha Motor Manufacturing Corp.
Superior Essex Inc., Vehicle Assembly, Hyundai Motor Group
Thermal Ceramics Inc., Vehicle Assembly, SK Battery America
TE Connectivity, Vehicle Assembly, Blue Bird Corp.
TDK Components USA Inc., Vehicle Assembly, Mercedes-Benz USA LLC",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and extra harmless metadata.",success,,2026-04-06T05:22:39+00:00
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.","Atlanta, Fulton County | Manufacturing Plant",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.85,"The model-generated answer is a paraphrased version of the gold answer, with some minor omissions. It correctly identifies Atlanta, Fulton County as the location and Manufacturing Plant as the primary facility type, but does not provide the exact count or mention that all three facilities are located in Atlanta.",success,,2026-04-06T05:22:42+00:00
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,"WIKA USA, 250000.0, HV and LV wiring harnesses for EVs and ICE vehicles, Gwinnett County",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.95,"The model-generated answer is essentially correct with minor omissions. The core entities (WIKA USA), mappings (Employment: 250000, Role: HV and LV wiring harnesses for EVs and ICE vehicles), and location (Gwinnett County) match the gold answer. However, the model's answer lacks a narrative preamble and includes extra harmless metadata.",success,,2026-04-06T05:22:45+00:00
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees","Troup County, 2435.0",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.95,"Core entities and count match the gold answer, but lacks narrative framing.",success,,2026-04-06T05:22:46+00:00
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Gwinnett County has the highest total employment across all companies: 253022.,"Gwinnett County, 253022.0",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.95,"Core entities and counts match the gold answer, but lacks narrative framing.",success,,2026-04-06T05:22:47+00:00
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,There are 10 Vehicle Assembly OEMs along with their Primary OEMs are: Kia Georgia Inc. | Primary OEMs: Club Car LLC Superior Essex Inc. | Primary OEMs: Hyundai Motor Group Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive TCI Powder Coatings | Primary OEMs: Kia Georgia Inc. TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC TE Connectivity | Primary OEMs: Blue Bird Corp. Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp. Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles Thermal Ceramics Inc. | Primary OEMs: SK Battery America Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.,"Kia Georgia Inc., Club Car LLC
Superior Essex Inc., Hyundai Motor Group
Suzuki Manufacturing of America Corp., Rivian Automotive
TCI Powder Coatings, Kia Georgia Inc.
TDK Components USA Inc., Mercedes-Benz USA LLC
TE Connectivity, Blue Bird Corp.
Teklas USA, Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles, Textron Specialized Vehicles
Thermal Ceramics Inc., SK Battery America
Thomson Plastics Inc., Archer Aviation Inc.",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/9c99fc4e626bfd7d/responses.jsonl,correct,0.85,"The model-generated answer contains all required Vehicle Assembly facilities in Georgia and their corresponding Primary OEMs, with the exception of a few minor omissions (e.g., Thermal Ceramics Inc.'s Primary OEM is listed as SK Battery America instead of being explicitly mentioned). The core entities, mappings, counts, and locations match the gold answer, demonstrating substantial correctness and completeness.",success,,2026-04-06T05:22:50+00:00
