question_id,question,gold_answer,generated_answer,pipeline_name,judge_model,generation_output_path,label,answer_correctness_score,reason,evaluation_status,error_message,timestamp_utc
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia (using Updated Location). F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems","F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia
Hitachi Astemo Americas Inc., Tier 1/2, Battery Cell, Battery cells for electric mobility, Hyundai Kia
Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia
Honda Development & Manufacturing, Tier 1/2, Battery Cell, Battery cells for electric mobility, Hyundai Kia
Hyundai Transys Georgia Powertrain, Tier 1/2, Thermal Management, Electrical heaters, control units, and actuators, Hyundai Kia Rivian
IMMI, Tier 1/2, Battery Pack, Battery electrolyte, Hyundai Kia",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and extra metadata.",success,,2026-04-06T15:57:17+00:00
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?",There are 6 companies found with Battery Cell or Battery Pack roles. F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell Hyundai Motor Group [Tier 1/2] | Role: Battery Pack IMMI [Tier 1/2] | Role: Battery Pack,"F&P Georgia Manufacturing, Battery Pack, Tier 1/2, Lithium-ion battery recycler and raw materials provider, Hyundai Kia, 104, Rome, Floyd County, Manufacturing Plant
Hollingsworth & Vose Co., Battery Pack, Tier 1/2, Lithium-ion battery materials, Hyundai Kia, 400, Hawkinsville, Pulaski County, Manufacturing Plant
IMMI, Battery Pack, Tier 1/2, Battery electrolyte, Hyundai Kia, 100, Dublin, Laurens County, Manufacturing Plant
Hyundai Motor Group, Battery Pack, Tier 1/2, Battery parts for electric vehicles, Hyundai Kia, 164, Ellabell, Bryan County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata.",success,,2026-04-06T15:57:20+00:00
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,There are 5 Thermal Management companies in Georgia. ZF Gainesville LLC | OEMs: Multiple OEMs Freudenberg-NOK | OEMs: Multiple OEMs Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian Novelis Inc. | OEMs: Multiple OEMs Peerless-Winsmith Inc. | OEMs: Multiple OEMs,"Freudenberg-NOK, Thermal Management, Stamped blanks Flexible metal hoses for exhaust systems, thermal compensators, among other automotive, Multiple OEMs, 160.0, LaGrange, Troup County, Manufacturing Plant
Hyundai Transys Georgia Powertrain, Thermal Management, Electrical heaters, control units, and actuators, Hyundai Kia Rivian, 130.0, West Point, Troup County, Manufacturing Plant
Novelis Inc., Thermal Management, Acoustic and thermally effective automotive components, Multiple OEMs, 200.0, Atlanta, Fulton County, Manufacturing Plant
Peerless-Winsmith Inc., Thermal Management, Thermal solutions, Multiple OEMs, 160.0, Flowery Branch, Hall County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.85,"The model-generated answer contains all required Thermal Management suppliers in Georgia and their linked Primary OEMs, with some minor omissions of narrative preamble and extra metadata.",success,,2026-04-06T15:57:23+00:00
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies strictly classified under Power Electronics or Charging Infrastructure: GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350 Morgan Corp. | Role: Charging Infrastructure | Employment: 320 Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000 ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500","GSC Steel Stamping LLC, Power Electronics, Power Electronics, Deep grove ball bearings Toyota Industries Electric Systems North 255 DC-to-DC converters Jackson America, Inc.*, Hyundai Kia Rivian, 350.0, Adairsville, Bartow County, Manufacturing Plant
Morgan Corp., Charging Infrastructure, Charging Infrastructure, Engine components, turbochargers, exhaust parts and other automotive parts, Multiple OEMs, 320.0, Rabun County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata.",success,,2026-04-06T15:57:26+00:00
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?",Original Equipment Manufacturer companies (11): Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly TE Connectivity | EV Supply Chain Role: Vehicle Assembly Teklas USA | EV Supply Chain Role: Vehicle Assembly Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly,"- company=Superior Essex Inc. | category=OEM | ev_supply_chain_role=Vehicle Assembly | product_service=Electric vehicles and batteries | primary_oems=Hyundai Motor Group
- company=Suzuki Manufacturing of America Corp. | category=OEM | ev_supply_chain_role=Vehicle Assembly | product_service=Electric vehicle assembly plant | primary_oems=Rivian Automotive
- company=Thermal Ceramics Inc. | category=OEM | ev_supply_chain_role=Vehicle Assembly | product_service=Electric vehicle batteries | primary_oems=SK Battery America
- company=TE Connectivity | category=OEM | ev_supply_chain_role=Vehicle Assembly | product_service=Truck and bus bodies | primary_oems=Blue Bird Corp.
- company=TDK Components USA Inc. | category=OEM | ev_supply_chain_role=Vehicle Assembly | product_service=Auto manufacturer headquarters | primary_oems=Mercedes-Benz USA LLC
- company=Teklas USA | category=OEM | ev_supply_chain_role=Vehicle Assembly | product_service=Golf carts and all-terrain vehicles | primary_oems=Yamaha Motor Manufacturing Corp.
- company=Thomson Plastics Inc. | category=OEM | ev_supply_chain_role=Vehicle Assembly | product_service=Electric vertical takeoff and landing (eVTOL) aircraft manufacturing | primary_oems=Archer Aviation Inc.",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and extra metadata.",success,,2026-04-06T15:57:30+00:00
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.","Atlanta, Fulton County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,partially_correct,0.6,"The model-generated answer is substantially correct but incomplete. It correctly identifies Atlanta, Fulton County as a location and Manufacturing Plant as the primary facility type, but it does not provide the exact count of locations or confirm that all three are located in Atlanta, Fulton County.",success,,2026-04-06T15:57:34+00:00
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,"WIKA USA, 250000.0, HV and LV wiring harnesses for EVs and ICE vehicles, Gwinnett County",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.95,"The model-generated answer is essentially correct with minor omissions. The core entities (WIKA USA), mappings (Employment: 250000, Role: HV and LV wiring harnesses for EVs and ICE vehicles), and location (Gwinnett County) match the gold answer. However, the model's answer lacks a narrative preamble and includes extra harmless metadata.",success,,2026-04-06T15:57:39+00:00
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees","Troup County, 2435.0",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.95,"Core entities and count match the gold answer, but lacks narrative framing.",success,,2026-04-06T15:57:43+00:00
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Gwinnett County has the highest total employment across all companies: 253022.,"Gwinnett County, 253022.0",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.95,"Core entities and counts match the gold answer, but lacks narrative framing.",success,,2026-04-06T15:57:45+00:00
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,There are 10 Vehicle Assembly OEMs along with their Primary OEMs are: Kia Georgia Inc. | Primary OEMs: Club Car LLC Superior Essex Inc. | Primary OEMs: Hyundai Motor Group Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive TCI Powder Coatings | Primary OEMs: Kia Georgia Inc. TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC TE Connectivity | Primary OEMs: Blue Bird Corp. Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp. Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles Thermal Ceramics Inc. | Primary OEMs: SK Battery America Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.,"Kia Georgia Inc., Vehicle Assembly, Golf carts, various off-road vehicles, electric on-road vehicles, Club Car LLC, 777, West Point, Troup County, Manufacturing Plant
Superior Essex Inc., Vehicle Assembly, Electric vehicles and batteries, Hyundai Motor Group, 8100, Kennesaw, Cobb County, Manufacturing Plant
Suzuki Manufacturing of America Corp., Vehicle Assembly, Electric vehicle assembly plant, Rivian Automotive, 7500, Rome, Douglas County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions_sreeja/outputs/generation/qwen_rag/9ee36848aef6e2bd/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and extra metadata.",success,,2026-04-06T15:57:48+00:00
