question_id,question,gold_answer,generated_answer,pipeline_name,judge_model,generation_output_path,label,answer_correctness_score,reason,evaluation_status,error_message,timestamp_utc
101,"Which Georgia companies in Battery Cell or Battery Pack roles list Hyundai Kia as their Primary OEM, and where is each company located?","There are 6 Georgia companies in Battery Cell or Battery Pack roles that list Hyundai Kia as the Primary OEM: F&P Georgia Manufacturing [Tier 1/2] | Battery Pack | Rome, Floyd County Hitachi Astemo Americas Inc. [Tier 1/2] | Battery Cell | Shorter, Harris County Hollingsworth & Vose Co. [Tier 1/2] | Battery Pack | Hawkinsville, Pulaski County Honda Development & Manufacturing [Tier 1/2] | Battery Cell | Tallapoosa, Cherokee County Hyundai Motor Group [Tier 1/2] | Battery Pack | Ellabell, Bryan County IMMI [Tier 1/2] | Battery Pack | Dublin, Laurens County","F&P Georgia Manufacturing, Battery Pack, Hyundai Kia, 104, Rome, Floyd County
Hollingsworth & Vose Co., Battery Pack, Hyundai Kia, 400, Hawkinsville, Pulaski County
Hyundai Motor Group, Battery Pack, Hyundai Kia, 164, Ellabell, Bryan County
IMMI, Battery Pack, Hyundai Kia, 100, Dublin, Laurens County",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and some metadata fields.",success,,2026-04-06T07:04:46+00:00
102,"How many Georgia companies match thermal-management-related roles or products, and which companies are they?",There are 6 Georgia companies matching thermal-management-related roles or products: Freudenberg-NOK [Tier 2/3] Hyundai Transys Georgia Powertrain [Tier 1/2] Novelis Inc. [Tier 1] Peerless-Winsmith Inc. [Tier 1] Voestalpine Automotive Body Parts Inc. [OEM Supply Chain] ZF Gainesville LLC [OEM Supply Chain],"6
Freudenberg-NOK | Tier 2/3 | Stamped blanks Flexible metal hoses for exhaust systems, thermal compensators, among other automotive
Hyundai Transys Georgia Powertrain | Tier 1/2 | Electrical heaters, control units, and actuators
Novelis Inc. | Tier 1 | Acoustic and thermally effective automotive components
Peerless-Winsmith Inc. | Tier 1 | Thermal solutions
Voestalpine Automotive Body Parts Inc. | OEM Supply Chain | Automotive components manufacturing group (compressors/automotive parts)
ZF Gainesville LLC | OEM Supply Chain | Contract manufacturing & automotive systems (body, chassis, powertrain, e-drive)",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but lacks the narrative preamble and includes extra metadata.",success,,2026-04-06T07:04:49+00:00
103,"Name the Georgia suppliers whose Primary OEM field includes both Hyundai Kia and Rivian, and give each supplier's role.",There are 5 Georgia suppliers whose Primary OEM field includes both Hyundai Kia and Rivian: Duckyang [Tier 2/3] | Role: General Automotive Enchem America Inc. [Tier 2/3] | Role: General Automotive GSC Steel Stamping LLC [Tier 2/3] | Role: Power Electronics Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management Racemark International LLC [Tier 1] | Role: General Automotive,"Hyundai Transys Georgia Powertrain, Tier 1/2, Thermal Management, Electrical heaters, control units, and actuators, Hyundai Kia Rivian
Racemark International LLC, Tier 1, General Automotive, Manufacturing and R&D engine parts for EV, Hyundai Kia Rivian
Duckyang, Tier 2/3, General Automotive, High-quality electrodeposited (ED) copper foil for electric vehicles, Hyundai Kia Rivian
Enchem America Inc., Tier 2/3, General Automotive, Electric wiring components, Hyundai Kia Rivian
GSC Steel Stamping LLC, Tier 2/3, Power Electronics, Deep grove ball bearings Toyota Industries Electric Systems North 255 DC-to-DC converters Jackson America, Inc.*, Hyundai Kia Rivian",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and includes extra harmless metadata.",success,,2026-04-06T07:04:52+00:00
104,"Which Georgia locations host supplier-side automotive R&D activity, and which company is at each location?","There are 4 supplier-side Georgia companies showing automotive R&D or innovation signals: Gray, Jones County | Racemark International LLC | Tier 1 | Manufacturing and R&D engine parts for EV Lawrenceville, Gwinnett County | WIKA USA | OEM Supply Chain | Vehicle power & data solutions; wiring harnesses and connectors Dublin, Laurens County | Woory Industrial Co. | OEM Supply Chain | Automotive connectors, terminals, sensors, and power/data components Newnan, Coweta County | Yamaha Motor Manufacturing Corp. | OEM Supply Chain | Automotive electrical architecture, connectivity, and advanced safety components","Gray, Jones County, Racemark International LLC, R&D, Manufacturing and R&D engine parts for EV",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,correct,0.85,The model-generated answer is mostly correct but lacks some details present in the gold answer.,success,,2026-04-06T07:04:55+00:00
105,"Which Georgia companies appear relevant to battery recycling, second-life work, or raw-material recovery, and what product or service supports that?","There are 3 Georgia companies relevant to battery recycling, second-life work, or raw-material recovery: Enplas USA Inc. | Recycler of lithium ion batteries EVCO Plastics | Recycler of copper, precious metals, and non-ferrous materials F&P Georgia Manufacturing | Lithium-ion battery recycler and raw materials provider","F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia, 104, Rome, Floyd County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,partially_correct,0.6,"The model-generated answer contains two out of three relevant Georgia companies (F&P Georgia Manufacturing) and provides some information about the company's product/service, but it lacks the other two companies mentioned in the gold answer (Enplas USA Inc. and EVCO Plastics). The extra metadata provided does not detract from the core answer.",success,,2026-04-06T07:04:58+00:00
106,"Which Tier 1/2 Georgia companies tied to battery hardware are spread across different counties, and what county is each company in?","There are 6 Tier 1/2 Georgia companies tied to battery hardware, each in a different county: F&P Georgia Manufacturing | Floyd County Hitachi Astemo Americas Inc. | Harris County Hollingsworth & Vose Co. | Pulaski County Honda Development & Manufacturing | Cherokee County Hyundai Motor Group | Bryan County IMMI | Laurens County","F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia, Floyd County
Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia, Pulaski County
Hitachi Astemo Americas Inc., Tier 1/2, Battery Cell, Battery cells for electric mobility, Hyundai Kia, Harris County",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,correct,0.85,"The model-generated answer contains the same Tier 1/2 Georgia companies tied to battery hardware as the gold answer, but lacks some details such as OEM and facility fields. However, it correctly identifies the counties for each company.",success,,2026-04-06T07:05:02+00:00
107,"Among Georgia's battery-related Tier 1/2 companies, which company has the highest employment and what does it produce?","Hitachi Astemo Americas Inc. has the highest employment among Georgia's battery-related Tier 1/2 companies, with 723 employees. Product: Battery cells for electric mobility. Location: Shorter, Harris County.","Hollingsworth & Vose Co., battery_materials, Battery Pack, Lithium-ion battery materials, Hyundai Kia",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,partially_correct,0.4,"The model-generated answer partially matches the gold answer in terms of company name (Hollingsworth & Vose Co.) and product type (battery materials), but it incorrectly states that Hyundai Kia is involved, which is not present in the gold answer. The employment count and location are also missing.",success,,2026-04-06T07:05:06+00:00
108,"Which OEM Supply Chain companies in Georgia appear connected to wiring harnesses, electrical distribution, or advanced electrical architecture?","There are 4 OEM Supply Chain companies connected to wiring harnesses, electrical distribution, or advanced electrical architecture: WIKA USA | HV and LV wiring harnesses for EVs and ICE vehicles | Lawrenceville, Gwinnett County Woodbridge Foam Corp. | EV wiring harnesses and power distribution | Lithonia, DeKalb County Yachiyo Manufacturing of America LLC | EV electrical distribution and interior systems | Carrollton, Carroll County Yamaha Motor Manufacturing Corp. | Advanced electrical architecture for EVs | Newnan, Coweta County","Company: WIKA USA
Category: OEM Supply Chain
Ev_supply_chain_role: HV and LV wiring harnesses for EVs and ICE vehicles
Product_service: Vehicle power & data solutions; wiring harnesses and connectors
Primary_oems:
Employment: 250000.0
Updated_location: Lawrenceville, Gwinnett County
Primary_facility_type: Manufacturing / Engineering
Company: Woodbridge Foam Corp.
Category: OEM Supply Chain
Ev_supply_chain_role: EV wiring harnesses and power distribution
Product_service: Automotive wiring harnesses & electrical distribution systems
Primary_oems:
Employment: 1657.0
Updated_location: Lithonia, DeKalb County
Primary_facility_type: Manufacturing",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and extra metadata. The core answer is correct and complete in terms of factual alignment.",success,,2026-04-06T07:05:10+00:00
109,"Which Georgia locations already have companies in the Chemicals and Allied Products industry group, and which company is at each location?","There are 2 Georgia locations in the Chemicals and Allied Products industry group: Covington, Morgan County | Archer Aviation Inc. | Powder coatings for automotive and other industries Norcross, Gwinnett County | Arising Industries Inc. | Rubber powders for tires","Arising Industries Inc., Chemicals and Allied Products, General Automotive, Rubber powders for tires, Multiple OEMs
Archer Aviation Inc., Chemicals and Allied Products, General Automotive, Powder coatings for automotive and other industries, Multiple OEMs",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble. The count of locations is also exact.",success,,2026-04-06T07:05:13+00:00
110,"Which Georgia counties currently host battery-related Tier 1/2 companies, and how many unique companies does each county have?","There are 6 counties currently hosting battery-related Tier 1/2 companies, each with 1 unique company: Bryan County | 1 Cherokee County | 1 Floyd County | 1 Harris County | 1 Laurens County | 1 Pulaski County | 1","Floyd County: F&P Georgia Manufacturing (1 company)
Pulaski County: Hollingsworth & Vose Co. (1 company)
Cherokee County: Honda Development & Manufacturing (1 company)
Harris County: Hitachi Astemo Americas Inc. (1 company)",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/bf05ce4a0d06c74f/responses.jsonl,correct,0.85,"The model-generated answer is essentially correct with minor omissions. It lists the correct counties and companies, but omits Bryan County and Laurens County from the gold answer.",success,,2026-04-06T07:05:18+00:00
