question_id,question,qwen_rag_score,qwen_rag_label,gemma_rag_score,gemma_rag_label,qwen_norag_score,qwen_norag_label,gemma_norag_score,gemma_norag_label,best_pipeline,notes
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.",0.6,partially_correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,gemma_rag,"qwen_rag: The model-generated answer contains some of the required entities and mappings, but is incomplete and lacks several key suppliers listed in the gold answer. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and includes extra harmless metadata. | qwen_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies the types of companies that would typically be included in Georgia's EV supply chain, but it does not provide a specific list of Tier 1/2 suppliers as requested. | gemma_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies the types of companies involved in the EV supply chain (battery production, electric motor manufacturing, power electronics) and mentions that specific supplier tiers and product details require the dataset. However, it does not provide a list of Tier 1/2 suppliers in Georgia as requested."
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?",0.85,correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer is mostly correct and complete, but it lacks the company roles (Battery Cell or Battery Pack) which are present in the gold answer. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata. | qwen_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies the types of companies involved (Battery Cell or Battery Pack) but fails to provide specific company names and their corresponding tiers, which are essential details in the gold answer. | gemma_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies the types of companies involved in battery cell or pack roles (automotive manufacturers, energy storage companies, and battery manufacturers) but fails to provide specific company names matching the gold answer. The tier assignments are also unknown without the dataset."
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,0.85,correct,0.85,correct,0.0,incorrect,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required Thermal Management suppliers in Georgia and their linked Primary OEMs, with some minor omissions of narrative preamble and extra metadata. The core entities, mappings, counts, and locations match the gold answer. | gemma_rag: The model-generated answer contains all required Thermal Management suppliers in Georgia and their linked Primary OEMs, with some minor differences in wording and metadata. | qwen_norag: The model-generated answer is off-topic and does not provide the required information about Thermal Management suppliers in Georgia and their links to Primary OEMs. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the sectors that thermal management suppliers support in Georgia, but fails to provide specific companies and their linked Primary OEMs as requested."
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.",0.85,correct,0.85,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and includes extra harmless metadata. | gemma_rag: The model-generated answer contains all required entities and mappings from the gold answer, but omits some details such as combined roles and narrative framing. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the categories of Power Electronics and Charging Infrastructure, but fails to provide specific company names and employment sizes as requested in the gold answer. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the sectors (Power Electronics or Charging Infrastructure) but fails to provide specific company names and employment sizes, which are crucial for a complete answer."
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?",0.6,partially_correct,0.85,correct,0.0,incorrect,0.0,incorrect,gemma_rag,"qwen_rag: The model-generated answer contains some of the required companies and their corresponding EV Supply Chain Roles, but it is incomplete and contains incorrect information. For example, Kia Georgia Inc. and Textron Specialized Vehicles are missing from the list, and some of the roles mentioned do not match the gold answer. | gemma_rag: The model-generated answer contains all required gold entities and mappings, but omits some narrative preamble and extra harmless metadata. | qwen_norag: The model-generated answer does not provide the required information about companies classified as Direct Manufacturer and their corresponding EV Supply Chain Roles, which are present in the gold answer. | gemma_norag: The model-generated answer is off-topic and does not provide the required information about companies classified as Direct Manufacturer and their corresponding EV Supply Chain Roles."
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?",0.6,partially_correct,0.85,correct,0.0,incorrect,0.0,incorrect,gemma_rag,"qwen_rag: The model-generated answer is substantially correct but incomplete. It correctly identifies Atlanta, Fulton County as a location and Manufacturing Plant as the primary facility type, but it does not provide the exact count of locations or confirm that all three are located in Atlanta, Fulton County. | gemma_rag: The model-generated answer is a paraphrased version of the gold answer, with some minor omissions. It correctly identifies Atlanta, Fulton County as the location and Manufacturing Plant as the primary facility type, but does not provide the exact count or mention that all three facilities are located in Atlanta. | qwen_norag: The model-generated answer does not provide the specific locations and primary facility types associated with Novelis Inc., which are provided in the gold answer. | gemma_norag: The model-generated answer is off-topic and does not provide the required information about Novelis Inc.'s locations and primary facility types."
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",0.95,correct,0.95,correct,0.4,partially_correct,0.4,partially_correct,tie,"qwen_rag: The model-generated answer is essentially correct with minor omissions. The core entities (WIKA USA), mappings (Employment: 250000, Role: HV and LV wiring harnesses for EVs and ICE vehicles), and location (Gwinnett County) match the gold answer. However, the model's answer lacks a narrative preamble and includes extra harmless metadata. | gemma_rag: The model-generated answer is essentially correct with minor omissions. The core entities (WIKA USA), mappings (Employment: 250000, Role: HV and LV wiring harnesses for EVs and ICE vehicles), and location (Gwinnett County) match the gold answer. However, the model's answer lacks a narrative preamble and includes extra harmless metadata. | qwen_norag: The model-generated answer is partly correct with important missing pieces. It acknowledges the difficulty of determining the exact dataset-specific answer, but fails to provide any specific information about the company with the highest employment in Gwinnett County and its role in the EV supply chain. | gemma_norag: The model-generated answer is partly correct with important missing pieces. It correctly identifies the sectors that large employers in Gwinnett County are often in, but fails to provide a specific company with the highest employment and its EV Supply Chain Role."
8,Which county have the highest total Employment among Tier 1 suppliers only?,0.95,correct,0.95,correct,0.0,incorrect,0.0,incorrect,tie,"qwen_rag: Core entities and count match the gold answer, but lacks narrative framing. | gemma_rag: Core entities and count match the gold answer, but lacks narrative framing. | qwen_norag: The model-generated answer does not provide a specific county with the highest total employment among Tier 1 suppliers, whereas the gold answer provides a clear and specific answer (Troup County). The model's response is vague and lacks factual alignment. | gemma_norag: The model-generated answer is off-topic and does not provide a specific county with the highest total Employment among Tier 1 suppliers, instead providing a general explanation."
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",0.95,correct,0.95,correct,0.0,incorrect,0.0,incorrect,tie,"qwen_rag: Core entities and counts match the gold answer, but lacks narrative framing. | gemma_rag: Core entities and counts match the gold answer, but lacks narrative framing. | qwen_norag: The model-generated answer does not provide the required information: the county with the highest total employment and its combined employment. | gemma_norag: The model-generated answer is off-topic and does not provide a specific county with the highest total employment or the combined employment in that county."
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,0.6,partially_correct,0.85,correct,0.0,incorrect,0.4,partially_correct,gemma_rag,"qwen_rag: The model-generated answer contains some of the required Vehicle Assembly facilities in Georgia and their corresponding Primary OEMs, but it is incomplete as it misses several facilities listed in the gold answer. | gemma_rag: The model-generated answer contains all required Vehicle Assembly facilities in Georgia and their corresponding Primary OEMs, with the exception of a few minor omissions (e.g., Thermal Ceramics Inc.'s Primary OEM is listed as SK Battery America instead of being explicitly mentioned). The core entities, mappings, counts, and locations match the gold answer, demonstrating substantial correctness and completeness. | qwen_norag: The model-generated answer does not provide any specific information about Vehicle Assembly facilities in Georgia and their corresponding Primary OEMs, whereas the gold answer provides a detailed list of such facilities along with their primary OEM associations. | gemma_norag: The model-generated answer is partly correct with some important missing pieces. It correctly identifies that vehicle assembly facilities are associated with major automotive manufacturers and mentions Georgia's attraction to automotive manufacturing. However, it fails to provide a specific list of Vehicle Assembly OEMs in Georgia along with their Primary OEMs as requested."
