question_id,question,gold_answer,generated_answer,pipeline_name,judge_model,generation_output_path,label,answer_correctness_score,reason,evaluation_status,error_message,timestamp_utc
101,"Which Georgia companies in Battery Cell or Battery Pack roles list Hyundai Kia as their Primary OEM, and where is each company located?","There are 6 Georgia companies in Battery Cell or Battery Pack roles that list Hyundai Kia as the Primary OEM: F&P Georgia Manufacturing [Tier 1/2] | Battery Pack | Rome, Floyd County Hitachi Astemo Americas Inc. [Tier 1/2] | Battery Cell | Shorter, Harris County Hollingsworth & Vose Co. [Tier 1/2] | Battery Pack | Hawkinsville, Pulaski County Honda Development & Manufacturing [Tier 1/2] | Battery Cell | Tallapoosa, Cherokee County Hyundai Motor Group [Tier 1/2] | Battery Pack | Ellabell, Bryan County IMMI [Tier 1/2] | Battery Pack | Dublin, Laurens County","F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia, 104.0, Rome, Floyd County, Manufacturing Plant
Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia, 400.0, Hawkinsville, Pulaski County, Manufacturing Plant
Hyundai Motor Group, Tier 1/2, Battery Pack, Battery parts for electric vehicles, Hyundai Kia, 164.0, Ellabell, Bryan County, Manufacturing Plant
IMMI, Tier 1/2, Battery Pack, Battery electrolyte, Hyundai Kia, 100.0, Dublin, Laurens County, Manufacturing Plant",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and some metadata fields.",success,,2026-04-06T07:04:48+00:00
102,"How many Georgia companies match thermal-management-related roles or products, and which companies are they?",There are 6 Georgia companies matching thermal-management-related roles or products: Freudenberg-NOK [Tier 2/3] Hyundai Transys Georgia Powertrain [Tier 1/2] Novelis Inc. [Tier 1] Peerless-Winsmith Inc. [Tier 1] Voestalpine Automotive Body Parts Inc. [OEM Supply Chain] ZF Gainesville LLC [OEM Supply Chain],"6
Freudenberg-NOK | Tier 2/3 | Stamped blanks Flexible metal hoses for exhaust systems, thermal compensators, among other automotive
Hyundai Transys Georgia Powertrain | Tier 1/2 | Electrical heaters, control units, and actuators
Novelis Inc. | Tier 1 | Acoustic and thermally effective automotive components
Peerless-Winsmith Inc. | Tier 1 | Thermal solutions
Voestalpine Automotive Body Parts Inc. | OEM Supply Chain | Automotive components manufacturing group (compressors/automotive parts)
ZF Gainesville LLC | OEM Supply Chain | Contract manufacturing & automotive systems (body, chassis, powertrain, e-drive)",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but lacks the narrative preamble and includes extra metadata.",success,,2026-04-06T07:04:50+00:00
103,"Name the Georgia suppliers whose Primary OEM field includes both Hyundai Kia and Rivian, and give each supplier's role.",There are 5 Georgia suppliers whose Primary OEM field includes both Hyundai Kia and Rivian: Duckyang [Tier 2/3] | Role: General Automotive Enchem America Inc. [Tier 2/3] | Role: General Automotive GSC Steel Stamping LLC [Tier 2/3] | Role: Power Electronics Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management Racemark International LLC [Tier 1] | Role: General Automotive,"Duckyang, Tier 2/3, General Automotive, High-quality electrodeposited (ED) copper foil for electric vehicles, Hyundai Kia Rivian
Enchem America Inc., Tier 2/3, General Automotive, Electric wiring components, Hyundai Kia Rivian
GSC Steel Stamping LLC, Tier 2/3, Power Electronics, Deep grove ball bearings Toyota Industries Electric Systems North 255 DC-to-DC converters Jackson America, Inc.*, Hyundai Kia Rivian
Hyundai Transys Georgia Powertrain, Tier 1/2, Thermal Management, Electrical heaters, control units, and actuators, Hyundai Kia Rivian
Racemark International LLC, Tier 1, General Automotive, Manufacturing and R&D engine parts for EV, Hyundai Kia Rivian",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and includes extra harmless metadata.",success,,2026-04-06T07:04:53+00:00
104,"Which Georgia locations host supplier-side automotive R&D activity, and which company is at each location?","There are 4 supplier-side Georgia companies showing automotive R&D or innovation signals: Gray, Jones County | Racemark International LLC | Tier 1 | Manufacturing and R&D engine parts for EV Lawrenceville, Gwinnett County | WIKA USA | OEM Supply Chain | Vehicle power & data solutions; wiring harnesses and connectors Dublin, Laurens County | Woory Industrial Co. | OEM Supply Chain | Automotive connectors, terminals, sensors, and power/data components Newnan, Coweta County | Yamaha Motor Manufacturing Corp. | OEM Supply Chain | Automotive electrical architecture, connectivity, and advanced safety components","Gray, Jones County, Racemark International LLC, R&D, Manufacturing and R&D engine parts for EV",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,correct,0.85,The model-generated answer is mostly correct but lacks some details present in the gold answer.,success,,2026-04-06T07:04:56+00:00
105,"Which Georgia companies appear relevant to battery recycling, second-life work, or raw-material recovery, and what product or service supports that?","There are 3 Georgia companies relevant to battery recycling, second-life work, or raw-material recovery: Enplas USA Inc. | Recycler of lithium ion batteries EVCO Plastics | Recycler of copper, precious metals, and non-ferrous materials F&P Georgia Manufacturing | Lithium-ion battery recycler and raw materials provider","Enplas USA Inc., Tier 2/3, General Automotive, Recycler of lithium ion batteries, Multiple OEMs, 150.0, Marietta, Cobb County, Manufacturing Plant
EVCO Plastics, Tier 2/3, Materials, Recycler of copper, precious metals, and non-ferrous materials, Multiple OEMs, 125.0, Calhoun, Gordon County, Manufacturing Plant
F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia, 104.0, Rome, Floyd County, Manufacturing Plant",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,correct,0.95,"The model-generated answer contains all required gold entities and mappings, with minor differences in wording and metadata.",success,,2026-04-06T07:05:00+00:00
106,"Which Tier 1/2 Georgia companies tied to battery hardware are spread across different counties, and what county is each company in?","There are 6 Tier 1/2 Georgia companies tied to battery hardware, each in a different county: F&P Georgia Manufacturing | Floyd County Hitachi Astemo Americas Inc. | Harris County Hollingsworth & Vose Co. | Pulaski County Honda Development & Manufacturing | Cherokee County Hyundai Motor Group | Bryan County IMMI | Laurens County","F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia
Fouts Brothers Fire Equipment, Tier 1/2, General Automotive, Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units, Multiple OEMs
Hitachi Astemo, Tier 1/2, General Automotive, Car audio systems, Multiple OEMs
Hitachi Astemo Americas Inc., Tier 1/2, Battery Cell, Battery cells for electric mobility, Hyundai Kia
Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia
Honda Development & Manufacturing, Tier 1/2, Battery Cell, Battery cells for electric mobility, Hyundai Kia
Hwashin, Tier 1/2, General Automotive, Modules and storage systems, Multiple OEMs
Hyundai & LG Energy Solution (LGES), Tier 1/2, General Automotive, Storage batteries, Multiple OEMs
Hyundai Industrial Co., Tier 1/2, General Automotive, Automotive batteries, Multiple OEMs
Hyundai MOBIS (Georgia), Tier 1/2, General Automotive, Capacitors, electronic automotive components, Multiple OEMs
Hyundai Motor Group, Tier 1/2, Battery Pack, Battery parts for electric vehicles, Hyundai Kia
Hyundai Transys Georgia Powertrain, Tier 1/2, Thermal Management, Electrical heaters, control units, and actuators, Hyundai Kia Rivian
Hyundai Transys Georgia Seating Systems, Tier 1/2, General Automotive, Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts, Multiple OEMs
IMMI, Tier 1/2, Battery Pack, Battery electrolyte, Hyundai Kia
IMS Gear Georgia Inc., Tier 1/2, General Automotive, Car audio systems, Multiple OEMs
Inalfa Roof Systems Inc., Tier 1/2, General Automotive, Automotive electronic safety systems, Multiple OEMs
JAC Products Inc., Tier 1/2, General Automotive, Switches, resistors and related products, Multiple OEMs
Jefferson Southern Corp., Tier 1/2, General Automotive, High current switches and resistors for automotive HVAC systems, Multiple OEMs",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,correct,0.85,"The model-generated answer contains all required Tier 1/2 Georgia companies tied to battery hardware and their respective counties, but it includes some extra information that is not present in the gold answer.",success,,2026-04-06T07:05:03+00:00
107,"Among Georgia's battery-related Tier 1/2 companies, which company has the highest employment and what does it produce?","Hitachi Astemo Americas Inc. has the highest employment among Georgia's battery-related Tier 1/2 companies, with 723 employees. Product: Battery cells for electric mobility. Location: Shorter, Harris County.","Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,partially_correct,0.4,"The model-generated answer partially matches the gold answer by mentioning Hollingsworth & Vose Co., but it incorrectly states that they produce 'Lithium-ion battery materials' and 'Battery Pack', whereas the gold answer specifies 'Battery cells for electric mobility'. Additionally, the location is not mentioned in the model-generated answer.",success,,2026-04-06T07:05:08+00:00
108,"Which OEM Supply Chain companies in Georgia appear connected to wiring harnesses, electrical distribution, or advanced electrical architecture?","There are 4 OEM Supply Chain companies connected to wiring harnesses, electrical distribution, or advanced electrical architecture: WIKA USA | HV and LV wiring harnesses for EVs and ICE vehicles | Lawrenceville, Gwinnett County Woodbridge Foam Corp. | EV wiring harnesses and power distribution | Lithonia, DeKalb County Yachiyo Manufacturing of America LLC | EV electrical distribution and interior systems | Carrollton, Carroll County Yamaha Motor Manufacturing Corp. | Advanced electrical architecture for EVs | Newnan, Coweta County","WIKA USA, OEM Supply Chain, HV and LV wiring harnesses for EVs and ICE vehicles, Vehicle power & data solutions; wiring harnesses and connectors, 250000.0, Lawrenceville, Gwinnett County, Manufacturing / Engineering
Woodbridge Foam Corp., OEM Supply Chain, EV wiring harnesses and power distribution, Automotive wiring harnesses & electrical distribution systems, 1657.0, Lithonia, DeKalb County, Manufacturing",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,correct,0.85,"The model-generated answer contains all required gold entities and mappings, but omits the narrative preamble and some details.",success,,2026-04-06T07:05:11+00:00
109,"Which Georgia locations already have companies in the Chemicals and Allied Products industry group, and which company is at each location?","There are 2 Georgia locations in the Chemicals and Allied Products industry group: Covington, Morgan County | Archer Aviation Inc. | Powder coatings for automotive and other industries Norcross, Gwinnett County | Arising Industries Inc. | Rubber powders for tires","ACM Georgia LLC, Textile Products, Warrenton, Warren County
Arising Industries Inc., Chemicals and Allied Products, Norcross, Gwinnett County
Archer Aviation Inc., Chemicals and Allied Products, Covington, Morgan County
Apache Mills Inc., Paper and Allied Products, Calhoun, Hall County
Bosal Industries Georgia, Rubber and Miscellaneous Plastic Products, Lavonia, Franklin County
DAEHAN Solution Georgia LLC, Rubber and Miscellaneous Plastic Products, Covington, Henry County
GEDIA Georgia LLC, Fabricated Metal Products, Dalton, Fulton County",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,correct,0.85,"The model-generated answer contains all required locations and companies in the Chemicals and Allied Products industry group, matching the gold answer's core entities and mappings. However, it omits two locations mentioned in the gold answer (Morgan County is correct but Henry County was not listed as a location for DAEHAN Solution Georgia LLC) and includes an extra company from a different industry group.",success,,2026-04-06T07:05:16+00:00
110,"Which Georgia counties currently host battery-related Tier 1/2 companies, and how many unique companies does each county have?","There are 6 counties currently hosting battery-related Tier 1/2 companies, each with 1 unique company: Bryan County | 1 Cherokee County | 1 Floyd County | 1 Harris County | 1 Laurens County | 1 Pulaski County | 1","Floyd County: 1 company
Baldwin County: 1 company
Harris County: 2 companies
Pulaski County: 1 company
Cherokee County: 1 company
Haralson County: 1 company
Chatham County: 2 companies
Troup County: 3 companies
Laurens County: 1 company
Gwinnett County: 1 company
Cobb County: 1 company
Jackson County: 1 company
Forsyth County: 1 company",gemma_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/gemma_rag/8308d23d8b4fbb40/responses.jsonl,partially_correct,0.6,"The model-generated answer contains most of the required information, but it is incomplete and lacks some key details present in the gold answer.",success,,2026-04-06T07:05:19+00:00
