question_id,pipeline_name,retrieved_chunk_count,structured_ops_used,filter_fallback_applied
1,qwen_rag,8,list_records,False
2,qwen_rag,6,list_records,False
3,qwen_rag,8,oem_mapping,False
4,qwen_rag,2,list_records,False
5,qwen_rag,8,list_records,False
6,qwen_rag,3,company_location_facility_map,False
7,qwen_rag,8,top_company_by_employment,False
8,qwen_rag,8,county_employment_totals,False
9,qwen_rag,8,county_employment_totals,False
10,qwen_rag,8,list_records,False
11,qwen_rag,3,list_records,False
12,qwen_rag,8,list_records,False
13,qwen_rag,1,oem_mapping,False
14,qwen_rag,8,list_records,False
15,qwen_rag,8,list_records,False
16,qwen_rag,8,,False
17,qwen_rag,8,list_records,False
18,qwen_rag,1,list_records,False
19,qwen_rag,8,,False
20,qwen_rag,8,list_records,False
21,qwen_rag,8,,False
22,qwen_rag,1,list_records,False
23,qwen_rag,8,list_records,False
24,qwen_rag,8,oem_mapping,False
25,qwen_rag,8,,False
26,qwen_rag,8,list_records,False
27,qwen_rag,8,list_records,False
28,qwen_rag,8,list_records,False
29,qwen_rag,8,,False
30,qwen_rag,8,list_records,False
31,qwen_rag,8,list_records,False
32,qwen_rag,5,list_records,False
33,qwen_rag,8,list_records,False
34,qwen_rag,8,,False
35,qwen_rag,8,count_matching_records,False
36,qwen_rag,8,list_records,False
37,qwen_rag,8,list_records,False
38,qwen_rag,8,list_records,False
39,qwen_rag,4,list_records,False
40,qwen_rag,8,list_records,False
41,qwen_rag,8,list_records,False
42,qwen_rag,4,,False
43,qwen_rag,8,list_records,False
44,qwen_rag,8,list_records,False
45,qwen_rag,8,oem_mapping,False
46,qwen_rag,8,list_records,False
47,qwen_rag,5,,False
48,qwen_rag,8,count_matching_records,False
49,qwen_rag,8,,False
50,qwen_rag,1,list_records,False
