question_id,question,reference_answer,pipeline_name,model_name,rag_enabled,prompt_version,system_prompt,user_prompt,retrieved_context_exact,retrieved_chunks,retrieved_chunk_ids,retrieved_metadata,reranked_chunk_ids,structured_ops_used,structured_ops_outputs,final_context_presented_to_model,generated_answer,answer_status,error_message,latency_seconds,input_tokens,output_tokens,total_tokens,timestamp_utc,attempt_count,retrieval_diagnostics,generation_metadata
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia (using Updated Location). F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems",gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

Generally, Tier 1/2 suppliers in Georgia (or any state) involved in the EV supply chain would likely include companies involved in battery production (cell manufacturing, pack assembly, materials sourcing), electric motor manufacturing, power electronics, charging infrastructure components, and potentially vehicle assembly if any occurs in the state. Their roles would span material supply, component manufacturing, sub-assembly, and direct supply to vehicle manufacturers. Product/services would align with those roles – e.g., battery cells, electric motors, charging station hardware, etc. Identifying *which* specific companies are Tier 1/2 requires proprietary supply chain data.",success,,9.00451831589453,297,144,441,2026-04-05T23:41:03+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 8974725201, 'eval_duration': 4200684985}"
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?",There are 6 companies found with Battery Cell or Battery Pack roles. F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell Hyundai Motor Group [Tier 1/2] | Role: Battery Pack IMMI [Tier 1/2] | Role: Battery Pack,gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, companies involved in battery cell or pack roles in Georgia would likely be automotive manufacturers with EV production, energy storage companies, or specialized battery manufacturers. Tier assignments would depend on the specific benchmark's criteria (e.g., production volume, revenue, technological leadership), but could range from Tier 1 (major players) to Tier 3 (smaller suppliers or emerging companies). It's reasonable to expect companies like Kia, Hyundai, and Rivian to be involved, but their specific tier would be unknown without the dataset.",success,,4.160924444207922,293,124,417,2026-04-05T23:41:07+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 4136262242, 'eval_duration': 3613204854}"
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,There are 5 Thermal Management companies in Georgia. ZF Gainesville LLC | OEMs: Multiple OEMs Freudenberg-NOK | OEMs: Multiple OEMs Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian Novelis Inc. | OEMs: Multiple OEMs Peerless-Winsmith Inc. | OEMs: Multiple OEMs,gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

Thermal management suppliers serve many industries, including automotive, aerospace, electronics, and data centers. In Georgia, suppliers would likely support manufacturers in these sectors. Primary OEMs (Original Equipment Manufacturers) would depend on the specific supplier's specialization – for example, a supplier focusing on automotive thermal solutions might link to vehicle assembly plants, while one focused on data centers would link to data center operators. Identifying the specific links requires knowing which companies operate in Georgia and their supply chains, which is beyond closed-book knowledge.",success,,4.002584032947198,290,120,410,2026-04-05T23:41:11+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 3976393355, 'eval_duration': 3501335955}"
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies strictly classified under Power Electronics or Charging Infrastructure: GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350 Morgan Corp. | Role: Charging Infrastructure | Employment: 320 Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000 ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500",gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Companies involved in power electronics or charging infrastructure in Georgia would likely include manufacturers of components (like semiconductors, transformers, or circuit boards), assembly/integration facilities, and companies installing/maintaining charging stations. Employment size would vary greatly – from small installation businesses with under 50 employees to larger manufacturing operations potentially employing hundreds or even thousands. It would depend on the specific scope of each company's activities and their market share.",success,,3.5125741527881473,291,103,394,2026-04-05T23:41:14+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 3484915919, 'eval_duration': 3011678928}"
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?",Original Equipment Manufacturer companies (11): Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly TE Connectivity | EV Supply Chain Role: Vehicle Assembly Teklas USA | EV Supply Chain Role: Vehicle Assembly Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly,gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, “Direct Manufacturers” in the EV supply chain are companies that produce battery cells, battery packs, or electric vehicle drive systems (motors, inverters, etc.). Their EV Supply Chain Roles would likely cover Cell Manufacturing, Pack Assembly, and/or Component Manufacturing. The specific roles covered by *each* company would depend on their specialization – some might only make cells, others might assemble full packs using cells sourced elsewhere, and still others might focus on motor production.",success,,3.782959108008072,291,112,403,2026-04-05T23:41:18+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 3755045748, 'eval_duration': 3273247410}"
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.",gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Novelis Inc. is a major aluminum rolling and recycling company. Therefore, its locations would likely include aluminum production facilities (rolling mills), recycling plants to process aluminum scrap, and potentially research & development centers. These facilities would likely be situated near sources of aluminum (either raw materials or scrap) and major transportation routes to serve customers in industries like automotive, aerospace, and packaging. Locations would span globally, given Novelis's international presence, but specific sites are unknown without the dataset.",success,,3.8685697810724378,294,115,409,2026-04-05T23:41:22+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 3843374922, 'eval_duration': 3370375387}"
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, companies with large manufacturing or distribution operations—particularly those involved in automotive or technology—tend to have the highest employment in a given county. EV Supply Chain Roles could include battery manufacturing, charging infrastructure production, electric motor component supply, or vehicle assembly; the company with the highest employment would likely fulfill a significant role in one of these areas. Determining the *highest* employment and specific role requires precise data not available without the dataset.",success,,3.565083035035059,294,105,399,2026-04-05T23:41:26+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 3538454344, 'eval_duration': 3079192821}"
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees",gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
Which county have the highest total Employment among Tier 1 suppliers only?

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, employment related to automotive Tier 1 suppliers would likely be concentrated in counties with major manufacturing facilities. These would probably be in areas with a history of automotive production and a skilled workforce. It's reasonable to expect a county near a large assembly plant would have high employment from Tier 1 suppliers, but without the dataset, I cannot say which county specifically has the highest total.",success,,3.275909540010616,287,95,382,2026-04-05T23:41:29+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 3249211062, 'eval_duration': 2789991962}"
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Gwinnett County has the highest total employment across all companies: 253022.,gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
Which county has the highest total employment across all companies, and what is the combined employment in that county?

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone. 

Generally, total employment would likely be highest in a county with a major metropolitan area and a diverse economic base. Factors like the presence of large corporate headquarters, manufacturing facilities, distribution centers, and government employment would all contribute. It's reasonable to expect a county near Atlanta would be a strong candidate, but without the dataset, I cannot say for sure.",success,,3.125260218977928,294,90,384,2026-04-05T23:41:32+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 3098472020, 'eval_duration': 2636854967}"
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,There are 10 Vehicle Assembly OEMs along with their Primary OEMs are: Kia Georgia Inc. | Primary OEMs: Club Car LLC Superior Essex Inc. | Primary OEMs: Hyundai Motor Group Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive TCI Powder Coatings | Primary OEMs: Kia Georgia Inc. TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC TE Connectivity | Primary OEMs: Blue Bird Corp. Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp. Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles Thermal Ceramics Inc. | Primary OEMs: SK Battery America Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.,gemma_norag,gemma3:27b,False,v2,"You are a closed-book baseline for a domain-specific QA benchmark.
Use best-effort reasoning, but do not invent dataset-specific facts.

Rules:
- Do not fabricate Georgia-specific company names, exact counts, exact employment values, exact county rankings, exact OEM relationships, or exact facility mappings.
- If the exact dataset answer is not knowable from closed-book knowledge alone, say what is uncertain clearly.
- Provide cautious partial answers when possible instead of defaulting to a blanket refusal.
- Do not respond with only the uncertainty sentence if you can add any safe partial answer, high-level explanation, or answer shape without inventing specifics.
- When exact dataset facts are unknowable, prefer a short structure like: uncertainty first, then one brief best-effort statement.
- Never present guesses as exact facts.
- If you truly cannot provide any safe partial answer, reply exactly: I cannot determine the exact dataset-specific answer from closed-book knowledge alone.
- Keep answers concise and honest.","QUESTION:
Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.

Answer from closed-book knowledge only.
If the exact dataset-specific answer is unknowable, say so briefly and then provide any safe partial answer, general interpretation, or description of what the answer would depend on, without inventing specifics.",,[],[],[],[],[],[],,"I cannot determine the exact dataset-specific answer from closed-book knowledge alone.

Generally, vehicle assembly facilities are associated with major automotive manufacturers (OEMs) like General Motors, Ford, Stellantis (Chrysler), Toyota, Hyundai, Kia, BMW, Mercedes-Benz, and Volkswagen. Georgia is a state with a growing automotive industry, so it is plausible there are facilities operated by one or more of these OEMs—or suppliers to them—doing final assembly work. Identifying the specific facilities and their primary OEM would require a current list of manufacturing plants in Georgia and their designated manufacturers.",success,,4.0251690819859505,291,119,410,2026-04-05T23:41:36+00:00,1,{},"{'done_reason': 'stop', 'total_duration': 3997402747, 'eval_duration': 3501405743}"
