question_id,question,gold_answer,generated_answer,pipeline_name,judge_model,generation_output_path,label,accuracy_score,reason,evaluation_status,error_message,timestamp_utc
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia (using Updated Location). F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems","F&P Georgia Manufacturing, Tier 1/2, Battery Pack, Lithium-ion battery recycler and raw materials provider, Hyundai Kia
Hitachi Astemo Americas Inc., Tier 1/2, Battery Cell, Battery cells for electric mobility, Hyundai Kia
Hollingsworth & Vose Co., Tier 1/2, Battery Pack, Lithium-ion battery materials, Hyundai Kia
Hyundai Motor Group, Tier 1/2, Battery Pack, Battery parts for electric vehicles, Hyundai Kia
IMMI, Tier 1/2, Battery Pack, Battery electrolyte, Hyundai Kia
Fouts Brothers Fire Equipment, Tier 1/2, General Automotive, Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units, Multiple OEMs",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,partially_correct,0.5,"The model-generated answer contains some correct entities and mappings, but is incomplete and lacks several Tier 1/2 suppliers in Georgia.",success,,2026-04-06T04:28:14+00:00
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?",There are 6 companies found with Battery Cell or Battery Pack roles. F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell Hyundai Motor Group [Tier 1/2] | Role: Battery Pack IMMI [Tier 1/2] | Role: Battery Pack,"F&P Georgia Manufacturing, Tier 1/2
Hollingsworth & Vose Co., Tier 1/2
IMMI, Tier 1/2
Hyundai Motor Group, Tier 1/2",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,partially_correct,0.5,"The model-generated answer is missing two companies (Hitachi Astemo Americas Inc. and Honda Development & Manufacturing) that are present in the gold answer, but it correctly identifies the tier for each company.",success,,2026-04-06T04:28:19+00:00
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,There are 5 Thermal Management companies in Georgia. ZF Gainesville LLC | OEMs: Multiple OEMs Freudenberg-NOK | OEMs: Multiple OEMs Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian Novelis Inc. | OEMs: Multiple OEMs Peerless-Winsmith Inc. | OEMs: Multiple OEMs,"Freudenberg-NOK, Tier 2/3, Thermal Management, Stamped blanks Flexible metal hoses for exhaust systems, thermal compensators, among other automotive, Multiple OEMs, 160.0, LaGrange, Troup County, Manufacturing Plant
Hyundai Transys Georgia Powertrain, Tier 1/2, Thermal Management, Electrical heaters, control units, and actuators, Hyundai Kia Rivian, 130.0, West Point, Troup County, Manufacturing Plant
Novelis Inc., Tier 1, Thermal Management, Acoustic and thermally effective automotive components, Multiple OEMs, 200.0, Atlanta, Fulton County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,partially_correct,0.5,"The model-generated answer is partially correct as it lists three out of five Thermal Management companies in Georgia and their primary OEMs, but misses two companies (ZF Gainesville LLC and Peerless-Winsmith Inc.).",success,,2026-04-06T04:28:22+00:00
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies strictly classified under Power Electronics or Charging Infrastructure: GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350 Morgan Corp. | Role: Charging Infrastructure | Employment: 320 Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000 ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500","GSC Steel Stamping LLC, Charging Infrastructure, Power Electronics, Deep grove ball bearings Toyota Industries Electric Systems North 255 DC-to-DC converters Jackson America, Inc.*, Hyundai Kia Rivian, 350.0, Adairsville, Bartow County, Manufacturing Plant
Morgan Corp., Charging Infrastructure, Tier 1, Engine components, turbochargers, exhaust parts and other automotive parts, Multiple OEMs, 320.0, Rabun County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,partially_correct,0.5,"The model-generated answer contains some correct entities and mappings, but it is incomplete and lacks the exact count of companies classified under Power Electronics or Charging Infrastructure.",success,,2026-04-06T04:28:26+00:00
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?",Original Equipment Manufacturer companies (11): Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly TE Connectivity | EV Supply Chain Role: Vehicle Assembly Teklas USA | EV Supply Chain Role: Vehicle Assembly Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly,"Thomson Plastics Inc., OEM, Vehicle Assembly, Electric vertical takeoff and landing (eVTOL) aircraft manufacturing, Archer Aviation Inc.
Minebea AccessSolutions USA Inc., OEM, General Automotive, Headquarters and distribution location, Porsche Cars North America Inc.
Suzuki Manufacturing of America Corp., OEM, Vehicle Assembly, Electric vehicle assembly plant, Rivian Automotive
Teklas USA, OEM, Vehicle Assembly, Golf carts and all-terrain vehicles, Yamaha Motor Manufacturing Corp.
Superior Essex Inc., OEM, Vehicle Assembly, Electric vehicles and batteries, Hyundai Motor Group
Thermal Ceramics Inc., OEM, Vehicle Assembly, Electric vehicle batteries, SK Battery America
TE Connectivity, OEM, Vehicle Assembly, Truck and bus bodies, Blue Bird Corp.
TDK Components USA Inc., OEM, Vehicle Assembly, Auto manufacturer headquarters, Mercedes-Benz USA LLC",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,partially_correct,0.5,"The model-generated answer contains some correct entities and mappings, but it is incomplete and includes extraneous information.",success,,2026-04-06T04:28:31+00:00
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.","Atlanta, Fulton County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,partially_correct,0.5,"The model-generated answer provides the correct location (Atlanta) and facility type (Manufacturing Plant), but it lacks information about the county (Fulton County) and does not provide a comprehensive list of locations as requested in the gold answer.",success,,2026-04-06T04:28:34+00:00
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,"WIKA USA, 250000.0, HV and LV wiring harnesses for EVs and ICE vehicles, Gwinnett County",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,correct,1.0,Core entities and mappings match the gold answer.,success,,2026-04-06T04:28:36+00:00
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees","Troup County, 2435.0",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,correct,1.0,Core entities and count match the gold answer.,success,,2026-04-06T04:28:39+00:00
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Gwinnett County has the highest total employment across all companies: 253022.,"Gwinnett County, 253022.0",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,correct,1.0,Core entities and count match the gold answer.,success,,2026-04-06T04:28:41+00:00
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,There are 10 Vehicle Assembly OEMs along with their Primary OEMs are: Kia Georgia Inc. | Primary OEMs: Club Car LLC Superior Essex Inc. | Primary OEMs: Hyundai Motor Group Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive TCI Powder Coatings | Primary OEMs: Kia Georgia Inc. TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC TE Connectivity | Primary OEMs: Blue Bird Corp. Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp. Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles Thermal Ceramics Inc. | Primary OEMs: SK Battery America Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.,"Kia Georgia Inc., Vehicle Assembly, Kia Georgia Inc., Club Car LLC, 777, West Point, Troup County, Manufacturing Plant
TCI Powder Coatings, Vehicle Assembly, TCI Powder Coatings, Kia Georgia Inc., 3000, Ellaville, Schley County, Manufacturing Plant
Suzuki Manufacturing of America Corp., Vehicle Assembly, Suzuki Manufacturing of America Corp., Rivian Automotive, 7500, Rome, Douglas County, Manufacturing Plant",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,partially_correct,0.5,"The model-generated answer lists three Vehicle Assembly facilities in Georgia and their corresponding Primary OEMs, but it is incomplete as it does not cover all 10 facilities mentioned in the gold answer.",success,,2026-04-06T04:28:45+00:00
11,Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.,"Sewon America Inc. has three operating entries in Georgia and all three are located in LaGrange, Troup County, Georgia. Sewon America Inc. | Product: Motor vehicle engines and parts Sewon America Inc. | Product: Fire truck bodies Sewon America Inc. | Product: Automotive aftermarket parts","Sewon America Inc., Tier 1, General Automotive, Motor vehicle engines and parts, Multiple OEMs
Sewon America Inc., Tier 1, General Automotive, Automotive aftermarket parts, Multiple OEMs
Sewon America Inc., Tier 1, General Automotive, Fire truck bodies, Multiple OEMs",qwen_rag,llama3.1:8b,/home/sm11926/Downloads/ev_data_LLM_comparsions/outputs/generation/qwen_rag/8c3ee49247706315/responses.jsonl,correct,1.0,Core entities and mappings match the gold answer.,success,,2026-04-06T04:28:47+00:00
